season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
21/22,268115,Vodacom Bulls,away,29,win,94,355,22,4,8,97,14,8,24,853,4,9,0,14,123,7,16,3,1,3,2,2,0
21/22,268116,Munster Rugby,away,43,win,109,411,20,7,8,98,13,7,29,918,7,4,0,12,89,9,17,3,1,3,2,7,0
21/22,268116,Scarlets,home,13,loss,99,231,9,3,13,159,14,4,14,757,4,9,3,17,124,20,8,3,1,1,0,1,0
21/22,268117,Emirates Lions,away,10,loss,125,375,17,5,7,146,21,12,30,818,3,4,2,11,199,32,8,0,0,3,0,3,0
21/22,268117,Ulster Rugby,home,26,win,178,454,32,7,15,245,16,6,27,901,6,9,0,19,149,17,8,1,0,0,1,1,0
21/22,268118,Dragons RFC,home,10,loss,108,288,12,4,9,138,10,2,38,937,9,2,1,9,148,18,13,4,0,3,1,4,0
21/22,268118,DHL Stormers,away,24,win,118,299,18,2,10,109,17,5,42,1105,6,3,0,9,122,12,5,2,0,1,1,4,0
21/22,268119,Zebre Parma,home,6,loss,81,285,16,2,17,127,14,6,19,811,4,9,3,13,144,21,14,0,1,3,1,6,0
21/22,268119,Glasgow Warriors,away,17,win,121,337,21,4,8,131,7,6,19,746,7,9,3,10,91,16,15,2,0,4,0,3,0
21/22,268120,Ospreys,away,29,win,90,371,16,3,13,109,8,6,28,1127,5,2,5,13,132,28,12,0,1,4,0,4,0
21/22,268120,Benetton Rugby,home,26,loss,128,539,28,8,11,173,17,3,25,988,5,6,0,13,73,16,10,1,1,2,0,0,0
21/22,268121,Scarlets,away,15,loss,83,280,12,3,7,112,12,8,19,576,10,5,2,6,143,32,14,5,0,0,0,2,0
21/22,268121,Leinster Rugby,home,50,win,151,628,32,11,20,206,20,6,19,606,6,5,0,13,88,12,7,3,1,0,1,1,0
21/22,268122,Edinburgh Rugby,home,17,win,113,362,26,5,9,116,10,14,29,803,7,8,4,13,130,18,14,1,2,4,0,2,0
21/22,268122,Vodacom Bulls,away,10,loss,96,260,18,3,7,89,16,6,19,713,3,8,2,13,121,26,17,5,1,1,0,3,0
21/22,268123,Munster Rugby,home,20,win,140,374,17,3,7,107,12,9,31,717,9,6,4,13,75,17,9,0,0,1,0,5,0
21/22,268123,Connacht Rugby,away,18,loss,72,261,17,2,2,80,15,6,21,898,6,8,3,8,178,17,15,2,0,5,1,4,0
21/22,268124,Hollywoodbets Sharks,away,17,loss,97,251,12,1,4,96,15,9,26,1129,4,6,1,15,102,14,10,1,0,2,1,3,0
21/22,268124,Cardiff Rugby,home,23,win,98,325,14,4,5,112,10,12,31,1218,7,5,2,7,114,12,13,1,1,2,0,2,0
21/22,268125,Benetton Rugby,away,28,loss,148,458,14,6,10,185,16,4,34,1266,5,5,2,18,83,14,9,2,0,2,1,0,0
21/22,268125,Scarlets,home,34,win,96,330,14,6,5,113,12,9,46,1673,7,4,2,10,157,14,8,0,0,6,0,3,0
21/22,268126,Zebre Parma,home,10,loss,72,150,8,1,11,94,17,10,16,659,10,5,2,9,130,23,12,1,0,4,0,4,0
21/22,268126,Edinburgh Rugby,away,27,win,118,372,23,5,13,157,12,6,20,708,7,10,0,18,73,8,8,1,0,1,0,2,0
21/22,268127,Glasgow Warriors,home,15,loss,151,295,19,3,13,176,16,4,21,795,4,7,1,13,139,17,9,2,0,1,0,1,0
21/22,268127,Leinster Rugby,away,31,win,121,381,17,6,5,145,9,10,22,773,6,2,3,9,177,19,14,3,0,5,1,6,0
21/22,268128,Connacht Rugby,home,36,win,127,541,12,7,11,135,14,14,17,644,6,7,4,10,129,22,17,1,0,7,1,8,0
21/22,268128,Ulster Rugby,away,11,loss,99,300,22,2,6,121,16,10,20,819,3,9,3,16,131,12,12,2,0,3,0,1,0
21/22,268129,Cardiff Rugby,home,31,win,93,294,9,5,4,87,9,7,15,697,7,8,0,14,175,20,14,1,0,2,0,1,1
21/22,268129,Dragons RFC,away,29,loss,148,422,20,5,9,189,12,11,13,573,4,8,0,14,120,9,18,6,0,3,1,2,0
21/22,268130,Ospreys,home,18,win,96,164,16,2,4,96,6,5,25,1205,9,11,4,10,72,10,11,1,1,3,0,2,0
21/22,268130,Munster Rugby,away,10,loss,77,239,10,0,6,118,16,8,28,941,3,2,1,14,119,16,14,5,0,3,1,3,0
21/22,268131,Ospreys,away,18,loss,94,195,15,1,2,119,12,7,14,517,4,8,3,9,175,23,10,3,0,3,1,2,0
21/22,268131,Connacht Rugby,home,46,win,147,644,23,9,11,164,13,9,16,368,7,5,1,10,129,15,11,1,2,2,0,1,0
21/22,268132,DHL Stormers,home,55,win,125,658,40,11,14,175,14,3,26,1012,8,4,0,13,59,9,7,0,0,1,0,3,0
21/22,268132,Zebre Parma,away,7,loss,49,122,9,2,3,56,11,9,21,968,4,3,3,14,134,40,7,3,0,2,1,2,1
21/22,268133,Benetton Rugby,home,19,win,70,139,6,2,2,85,11,4,24,722,9,2,1,13,138,16,10,4,0,1,0,0,0
21/22,268133,Glasgow Warriors,away,18,loss,104,249,16,2,4,118,17,5,17,597,9,6,1,9,80,6,13,1,2,4,1,5,0
21/22,268134,Hollywoodbets Sharks,home,37,win,136,418,27,5,7,133,16,9,28,1013,8,6,1,11,117,18,7,0,0,2,0,2,0
21/22,268134,Scarlets,away,20,loss,110,307,18,5,5,132,12,7,26,841,5,11,0,9,172,27,18,3,0,7,0,1,0
21/22,268135,Dragons RFC,home,14,loss,100,290,17,4,3,154,16,4,19,559,5,11,0,7,197,25,17,3,3,0,1,2,0
21/22,268135,Edinburgh Rugby,away,30,win,154,420,25,7,11,209,13,11,28,794,4,4,2,19,127,17,7,1,1,3,2,1,0
21/22,268136,Vodacom Bulls,home,29,win,105,411,26,4,17,132,11,6,22,704,1,4,2,13,118,3,8,1,0,4,0,1,1
21/22,268136,Munster Rugby,away,24,loss,92,230,3,1,10,115,8,4,19,799,4,6,5,10,103,26,12,0,0,7,0,4,0
21/22,268137,Ulster Rugby,away,20,win,147,335,23,3,7,152,6,7,27,748,3,7,2,16,190,20,11,0,0,2,0,3,0
21/22,268137,Leinster Rugby,home,10,loss,150,344,20,5,6,185,10,9,20,657,1,9,1,14,212,23,15,0,0,2,0,4,0
21/22,268138,Cardiff Rugby,away,20,loss,98,248,8,1,9,134,11,4,16,643,6,6,1,16,111,10,12,1,1,5,0,2,0
21/22,268138,Emirates Lions,home,37,win,102,307,10,2,9,150,9,6,21,948,2,3,2,13,111,8,13,3,1,1,3,1,0
21/22,268139,Vodacom Bulls,home,57,win,126,675,30,12,21,123,14,5,19,832,5,4,2,10,97,12,8,2,0,0,1,3,0
21/22,268139,Scarlets,away,12,loss,92,269,12,1,9,135,12,8,15,716,9,3,4,11,118,30,12,3,0,3,0,3,0
