season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
21/22,268189,Scarlets,home,35,win,124,398,16,5,13,172,10,7,31,955,10,4,0,15,140,18,11,2,0,3,1,2,0
21/22,268190,Ospreys,home,27,win,128,258,27,1,3,171,8,4,23,1149,5,6,3,19,102,18,13,1,0,4,0,4,0
21/22,268190,Zebre Parma,away,22,loss,85,407,18,7,11,93,9,3,23,1014,3,1,2,10,165,27,16,2,0,1,1,4,0
21/22,268191,DHL Stormers,away,30,win,68,286,12,5,5,90,13,3,21,942,4,4,3,13,164,22,17,4,1,3,0,3,0
21/22,268191,Vodacom Bulls,home,26,loss,117,344,21,6,8,138,10,5,20,806,6,12,1,20,63,12,11,2,0,4,0,1,0
21/22,268192,Emirates Lions,away,10,loss,76,125,3,1,2,78,16,5,36,1286,2,4,4,11,69,6,10,4,0,1,1,1,0
21/22,268192,Hollywoodbets Sharks,home,37,win,71,309,6,3,6,99,9,7,41,1402,8,5,2,13,89,3,8,2,0,1,0,1,0
21/22,268193,Connacht Rugby,away,8,loss,71,274,8,4,9,111,10,2,11,473,7,7,3,6,157,29,15,4,0,4,0,1,0
21/22,268193,Edinburgh Rugby,home,56,win,135,547,29,11,12,161,12,7,19,786,9,3,0,14,67,8,7,1,0,3,0,2,0
21/22,268194,Benetton Rugby,home,17,loss,73,342,7,3,5,74,11,7,23,885,5,2,1,9,185,23,15,2,0,5,1,3,0
21/22,268194,Leinster Rugby,away,61,win,155,584,23,9,11,228,10,7,24,1169,4,4,2,17,83,7,9,1,0,4,0,0,0
21/22,268195,Emirates Lions,home,10,loss,70,125,7,0,4,102,14,6,21,1040,7,5,3,17,85,15,12,1,2,2,1,3,0
21/22,268195,Vodacom Bulls,away,34,win,93,335,15,3,13,86,12,6,29,800,7,6,0,16,79,7,17,4,0,5,2,1,0
21/22,268197,Leinster Rugby,away,45,win,121,532,35,10,11,127,13,6,22,1179,10,4,5,12,106,7,8,2,0,2,1,1,0
21/22,268197,Connacht Rugby,home,8,loss,90,241,7,2,7,135,18,5,21,844,8,3,2,9,138,35,12,7,0,3,2,1,1
21/22,268198,Benetton Rugby,away,22,loss,96,270,9,1,6,143,12,7,18,700,6,13,2,10,113,14,11,2,0,2,1,2,0
21/22,268198,Munster Rugby,home,51,win,88,305,14,4,8,99,14,8,32,1097,3,4,3,7,115,9,11,3,0,2,0,4,0
21/22,268199,Cardiff Rugby,home,32,win,109,338,14,5,13,126,13,9,21,758,9,2,5,6,132,18,6,2,0,1,1,1,0
21/22,268199,Glasgow Warriors,away,28,loss,111,421,18,2,4,164,14,7,20,695,7,6,3,8,134,14,9,1,1,1,0,0,0
21/22,268200,Dragons RFC,away,20,loss,91,345,11,5,9,132,13,4,21,716,4,8,3,14,118,18,10,2,0,0,0,0,0
21/22,268200,Vodacom Bulls,home,55,win,106,463,18,4,12,124,11,6,26,979,6,3,0,16,87,11,10,2,0,3,1,1,0
21/22,268201,Ospreys,away,15,loss,97,304,13,5,6,145,13,8,20,753,5,7,1,6,147,28,6,5,0,1,0,0,0
21/22,268201,Emirates Lions,home,45,win,128,623,28,9,22,174,16,5,20,786,6,5,0,9,113,13,7,2,1,2,1,1,0
21/22,268202,Edinburgh Rugby,away,21,win,55,178,12,2,2,37,12,5,40,1442,9,3,4,11,138,7,11,3,1,3,1,0,0
21/22,268202,Hollywoodbets Sharks,home,5,loss,86,169,7,0,3,92,15,7,38,1395,7,0,1,9,62,12,7,2,0,3,1,2,0
21/22,268203,Ulster Rugby,away,20,loss,116,393,15,4,6,154,8,4,31,1025,7,8,0,13,57,7,13,3,0,2,0,1,0
21/22,268203,DHL Stormers,home,23,win,56,190,7,2,6,86,8,9,29,1129,5,6,2,12,125,15,13,1,1,2,0,5,0
21/22,268204,Zebre Parma,home,24,loss,146,482,30,9,24,181,17,7,23,958,3,3,4,17,72,14,6,1,1,2,0,1,0
21/22,268204,Scarlets,away,41,win,97,431,14,7,21,120,16,8,29,950,5,5,2,13,136,30,9,0,0,3,0,2,0
21/22,268205,Leinster Rugby,home,35,win,94,319,28,7,3,131,11,5,27,1100,6,1,2,12,206,22,9,1,0,0,1,2,0
21/22,268205,Munster Rugby,away,25,loss,179,384,22,2,21,238,12,6,26,862,3,5,0,12,103,28,10,1,0,2,1,2,0
21/22,268206,Cardiff Rugby,away,20,loss,131,388,13,1,19,158,12,4,27,922,3,3,1,7,84,18,13,4,0,4,1,2,0
21/22,268206,Scarlets,home,35,win,83,267,18,5,9,93,5,4,31,979,10,2,2,9,143,13,11,1,0,4,0,2,1
21/22,268207,Ulster Rugby,away,16,loss,119,294,26,1,4,175,14,7,22,974,5,6,3,17,95,11,7,1,1,2,0,2,0
21/22,268207,Vodacom Bulls,home,34,win,82,413,11,4,10,85,9,7,30,1051,6,4,2,9,166,26,15,0,0,7,0,4,0
21/22,268208,Emirates Lions,home,15,win,87,244,9,4,10,98,9,8,33,1508,5,3,1,9,105,14,7,0,0,1,0,3,0
21/22,268208,Edinburgh Rugby,away,9,loss,100,418,14,2,11,135,13,3,26,1016,6,9,2,15,93,9,6,0,1,1,0,0,0
21/22,268209,Dragons RFC,away,3,loss,87,139,9,2,12,116,10,8,24,836,3,4,3,11,130,16,13,4,0,7,1,2,0
21/22,268209,Hollywoodbets Sharks,home,51,win,120,449,16,8,6,145,9,6,33,1147,7,5,2,14,86,9,5,0,0,0,0,1,0
21/22,268210,Ospreys,away,13,loss,76,265,8,7,13,132,15,7,21,814,11,6,1,10,85,28,10,1,1,2,1,0,0
21/22,268210,DHL Stormers,home,29,win,97,493,28,10,24,114,17,9,19,933,9,6,2,8,84,8,12,1,0,4,1,2,0
21/22,268211,Zebre Parma,away,12,loss,110,335,12,1,8,147,22,5,12,656,6,7,3,11,117,13,12,2,0,4,1,2,0
21/22,268211,Glasgow Warriors,home,40,win,96,228,13,1,6,155,10,13,28,1173,6,3,1,16,141,12,9,1,0,3,0,2,0
21/22,268212,Connacht Rugby,away,21,win,129,316,21,2,15,170,7,8,18,750,9,8,3,10,123,21,19,5,1,5,1,4,0
21/22,268212,Benetton Rugby,home,17,loss,110,293,21,4,13,145,14,7,17,788,7,4,4,15,162,21,13,5,0,3,2,3,0
21/22,268213,Ulster Rugby,home,17,loss,121,321,14,2,10,201,8,4,22,965,4,10,3,16,112,8,13,1,1,2,0,1,0
21/22,268213,Munster Rugby,away,24,win,99,298,8,2,7,133,8,6,29,1000,4,7,2,11,129,14,13,2,1,3,0,2,0
21/22,268214,Ospreys,away,22,win,93,330,11,3,7,136,13,7,21,919,8,5,1,15,107,8,12,3,0,1,1,2,0
21/22,268214,Cardiff Rugby,home,6,loss,90,281,8,1,13,128,13,9,18,740,8,8,3,12,114,11,14,6,0,0,1,2,0
21/22,268215,Dragons RFC,home,19,loss,152,331,16,3,12,189,14,2,19,798,9,4,1,13,93,10,7,2,0,0,0,0,0
21/22,268215,Scarlets,away,38,win,75,327,10,9,9,112,13,6,20,753,6,4,3,12,199,16,13,1,0,5,0,4,0
21/22,268216,Vodacom Bulls,home,46,win,145,393,9,4,15,156,12,5,15,674,4,10,1,14,45,12,13,2,2,4,0,1,0
21/22,268216,Benetton Rugby,away,29,loss,55,216,12,3,6,77,12,8,19,700,0,5,1,11,144,9,14,3,1,5,1,1,1
21/22,268217,Emirates Lions,home,30,loss,112,382,25,4,15,111,12,5,16,802,1,6,1,13,65,9,13,1,0,1,0,1,0
21/22,268217,Connacht Rugby,away,33,win,72,207,9,4,8,82,7,8,21,875,5,4,2,10,118,25,12,1,0,5,0,2,0
21/22,268218,Hollywoodbets Sharks,home,28,win,71,457,16,6,8,70,13,1,23,922,5,3,2,12,111,10,16,4,0,5,1,2,0
21/22,268218,Leinster Rugby,away,23,loss,83,168,10,2,4,83,12,4,31,1379,7,0,3,9,62,16,13,2,2,4,0,2,0
21/22,268219,Glasgow Warriors,away,7,loss,64,161,11,1,5,79,11,12,20,910,6,7,0,14,95,15,16,2,1,3,0,3,0
21/22,268219,DHL Stormers,home,32,win,99,448,15,7,16,132,11,6,20,851,9,6,4,12,79,11,8,1,1,0,0,1,0
21/22,268220,Edinburgh Rugby,home,29,win,134,313,19,5,7,146,13,8,20,718,3,5,1,11,85,22,9,2,0,3,0,4,1
21/22,268220,Zebre Parma,away,26,loss,82,378,22,8,14,106,16,5,12,574,10,3,2,6,174,19,11,2,0,2,1,5,0
21/22,268221,Cardiff Rugby,away,21,loss,130,377,25,9,6,186,12,4,16,579,3,4,1,14,182,31,6,0,0,1,0,1,0
21/22,268221,Munster Rugby,home,42,win,157,487,31,9,23,210,8,9,26,645,2,3,0,7,147,25,7,1,0,0,1,0,0
21/22,268222,Scarlets,away,36,loss,104,436,13,9,16,147,13,3,18,427,5,4,0,13,127,21,11,4,0,3,0,2,0
21/22,268222,Ospreys,home,54,win,109,369,21,10,12,151,11,4,27,658,6,2,0,13,122,13,5,0,0,2,0,2,0
21/22,268223,Glasgow Warriors,away,17,loss,87,270,13,4,4,145,11,2,20,850,3,8,1,17,103,4,16,4,1,2,3,2,0
21/22,268223,Vodacom Bulls,home,29,win,76,214,4,4,4,93,11,3,24,822,8,4,4,18,103,13,14,2,0,7,0,2,0
21/22,268224,Emirates Lions,home,37,win,110,468,22,6,15,139,7,8,15,629,5,7,4,11,102,11,14,2,1,2,1,2,0
21/22,268224,Benetton Rugby,away,29,loss,91,414,11,6,11,131,12,7,18,596,5,9,1,16,125,22,17,1,0,3,0,4,0
21/22,268225,Hollywoodbets Sharks,home,41,win,106,389,23,7,9,117,10,7,27,870,4,4,1,12,91,9,14,2,0,2,1,3,0
21/22,268225,Connacht Rugby,away,21,loss,92,240,9,2,11,118,11,6,19,779,5,5,1,12,118,23,8,2,0,2,0,2,0
21/22,268226,DHL Stormers,home,20,win,80,272,25,4,8,118,11,4,22,869,6,1,3,13,86,11,12,1,2,4,0,3,0
21/22,268226,Leinster Rugby,away,13,loss,78,187,11,1,11,90,12,6,27,835,5,5,2,17,87,25,18,5,3,1,1,1,0
21/22,268227,Ulster Rugby,away,16,win,92,289,16,3,4,110,8,5,23,722,5,4,2,11,199,21,13,1,0,2,0,4,0
21/22,268227,Edinburgh Rugby,home,10,loss,165,391,21,6,9,187,13,6,18,675,3,9,0,13,116,16,14,0,2,4,0,2,0
21/22,268228,Zebre Parma,home,23,win,137,452,29,3,9,189,10,5,19,794,6,7,1,13,92,12,10,0,0,3,0,3,0
21/22,268228,Dragons RFC,away,18,loss,78,226,12,3,8,124,9,5,25,1074,2,4,2,13,166,29,16,3,0,4,1,4,0
21/22,268229,Zebre Parma,away,20,loss,112,389,22,5,9,169,15,4,20,659,11,3,5,13,118,13,9,2,1,0,0,1,0
21/22,268229,Connacht Rugby,home,22,win,94,354,13,8,8,122,11,8,20,778,7,8,1,16,137,22,11,3,0,1,2,2,0
21/22,268230,Leinster Rugby,home,26,win,123,347,18,3,5,152,13,4,17,626,7,5,3,12,152,22,9,2,0,2,1,4,0
21/22,268230,Edinburgh Rugby,away,7,loss,123,276,22,3,9,140,12,5,23,491,9,2,1,9,132,18,11,1,0,3,0,6,0
21/22,268231,Ulster Rugby,home,24,win,91,305,22,5,12,138,13,9,31,859,6,3,1,13,196,30,7,2,0,2,0,1,0
21/22,268231,Hollywoodbets Sharks,away,21,loss,152,436,30,5,12,188,14,5,19,665,6,14,2,11,102,22,7,0,0,3,0,1,0
21/22,268232,Dragons RFC,home,11,loss,99,466,11,5,14,178,16,13,20,731,8,8,1,14,104,20,12,3,0,2,1,0,0
21/22,268232,Emirates Lions,away,21,win,94,489,20,6,8,125,21,7,14,600,8,4,0,13,87,11,11,2,0,1,0,2,0
21/22,268233,Scarlets,home,21,loss,105,300,25,5,8,122,16,5,22,776,5,2,2,16,98,32,7,2,0,1,0,0,0
21/22,268233,DHL Stormers,away,26,win,92,371,32,7,12,120,15,9,24,605,8,5,4,10,109,25,12,1,0,3,0,6,0
21/22,268234,Ospreys,home,31,loss,111,324,11,4,7,141,9,12,22,657,8,7,2,7,107,19,9,1,0,2,0,2,0
21/22,268234,Vodacom Bulls,away,38,win,109,370,19,5,16,136,19,9,18,780,4,4,0,12,116,11,10,4,0,0,0,2,0
21/22,268235,Munster Rugby,away,11,loss,105,210,9,1,3,126,7,7,28,1012,8,5,2,11,91,8,12,2,0,4,1,2,0
21/22,268235,Glasgow Warriors,home,13,win,82,229,8,2,4,109,16,3,26,962,4,6,2,15,147,9,8,1,0,2,0,1,0
21/22,268236,Cardiff Rugby,away,21,loss,103,275,10,2,6,130,13,5,24,778,6,6,2,10,78,15,7,1,0,0,0,0,0
21/22,268236,Benetton Rugby,home,69,win,94,575,15,11,15,136,12,5,30,1007,3,1,1,15,114,10,12,1,1,2,2,2,0
22/23,271773,Dragons RFC,away,6,loss,78,171,6,0,6,95,11,5,14,662,5,9,0,9,151,17,22,4,2,4,1,5,0
22/23,271773,Edinburgh Rugby,home,44,win,116,377,17,8,6,146,11,7,16,857,6,6,4,17,109,6,13,2,2,2,3,3,0
22/23,271774,Ulster Rugby,home,36,win,151,388,19,7,7,176,12,4,25,974,8,6,2,19,92,5,8,1,0,1,1,3,0
22/23,271774,Connacht Rugby,away,10,loss,77,250,5,1,1,95,13,7,16,600,6,5,2,8,186,19,15,3,0,3,0,7,0
22/23,271775,Benetton Rugby,home,33,win,80,245,10,5,6,97,13,10,29,1088,10,6,2,13,140,14,9,1,0,3,0,4,0
22/23,271775,Glasgow Warriors,away,11,loss,124,314,14,4,10,159,16,5,23,833,4,7,2,11,83,10,12,4,2,3,2,1,0
22/23,271776,Leinster Rugby,away,33,win,97,233,9,3,10,129,13,5,19,875,12,4,2,12,95,23,7,0,0,2,0,5,0
22/23,271776,Zebre Parma,home,29,loss,103,364,23,8,19,136,20,5,14,643,4,4,1,12,101,9,14,4,0,6,0,2,0
22/23,271778,Cardiff Rugby,home,20,win,150,512,42,11,17,173,14,10,30,1063,3,4,1,10,135,23,7,0,0,3,0,1,0
22/23,271778,Munster Rugby,away,13,loss,117,403,23,2,8,144,10,7,22,961,5,9,2,14,178,42,11,1,0,2,1,2,0
22/23,271779,Hollywoodbets Sharks,home,19,loss,129,397,14,5,14,138,16,4,22,808,5,4,1,12,73,16,14,5,0,5,0,1,0
22/23,271779,DHL Stormers,away,46,win,75,462,16,9,11,91,13,8,29,1044,8,3,3,12,147,14,6,2,0,3,0,3,0
22/23,271780,Emirates Lions,home,15,loss,90,274,20,1,13,128,14,5,25,1340,4,3,2,18,108,6,13,3,0,5,0,3,0
22/23,271780,Vodacom Bulls,away,31,win,102,496,6,2,18,143,11,6,29,1233,6,4,2,9,103,20,12,2,1,1,0,1,0
22/23,271781,Zebre Parma,home,37,loss,90,388,20,6,12,113,14,1,15,557,1,3,2,16,100,15,14,4,0,3,1,3,0
22/23,271781,Hollywoodbets Sharks,away,42,win,76,415,15,6,3,94,3,3,22,736,7,4,2,8,86,20,11,0,3,1,0,2,0
22/23,271782,Glasgow Warriors,home,52,win,157,507,18,7,18,227,9,11,20,753,2,4,1,13,85,15,12,3,0,3,1,4,0
22/23,271782,Cardiff Rugby,away,24,loss,75,313,15,3,5,94,10,3,16,595,9,5,4,10,162,18,11,1,0,3,1,3,0
22/23,271783,Benetton Rugby,away,10,loss,99,278,14,2,13,116,12,10,31,934,7,5,2,7,162,21,9,2,1,2,0,3,0
22/23,271783,Leinster Rugby,home,42,win,143,388,21,3,11,199,15,4,25,1069,3,7,1,18,104,14,12,3,0,0,1,3,0
22/23,271784,Connacht Rugby,away,15,loss,113,376,19,5,4,140,13,5,25,1019,3,8,1,17,64,13,14,4,1,4,0,4,1
22/23,271784,DHL Stormers,home,38,win,70,356,13,5,9,112,10,2,24,1193,6,3,4,13,145,19,15,0,1,6,0,3,0
22/23,271785,Edinburgh Rugby,away,31,loss,98,241,18,5,10,122,6,4,18,771,2,5,0,14,85,7,14,2,2,2,0,0,0
22/23,271785,Vodacom Bulls,home,33,win,71,163,7,3,5,91,7,4,17,747,3,6,0,20,109,18,10,1,0,4,0,5,0
22/23,271786,Scarlets,home,39,loss,103,293,13,7,8,116,9,7,21,759,0,9,1,12,191,18,9,0,0,4,0,3,0
22/23,271786,Ulster Rugby,away,55,win,152,557,18,3,11,195,10,7,19,630,2,3,1,7,116,13,9,0,2,2,0,4,0
22/23,271787,Emirates Lions,away,28,win,71,249,7,2,4,80,10,7,21,739,5,4,4,12,120,22,11,3,0,3,0,3,0
22/23,271787,Ospreys,home,27,loss,130,334,22,4,19,206,12,5,22,1001,8,4,2,11,84,7,9,2,0,1,1,2,0
22/23,271788,Munster Rugby,away,17,loss,118,365,17,3,10,159,16,3,20,947,5,5,2,9,128,22,16,1,0,5,1,8,0
22/23,271788,Dragons RFC,home,23,win,115,419,22,4,12,144,13,7,23,1000,9,9,2,7,149,17,8,2,0,1,0,1,0
22/23,271789,Emirates Lions,away,31,win,80,260,12,2,5,84,16,5,26,928,10,2,1,16,82,8,6,1,0,1,0,2,0
22/23,271789,Cardiff Rugby,home,18,loss,79,270,8,3,8,122,15,4,22,821,9,4,2,12,105,12,16,3,1,4,2,4,0
22/23,271790,Ulster Rugby,home,13,loss,101,269,13,1,5,105,14,4,22,814,10,6,0,11,115,6,11,3,0,1,0,0,0
22/23,271790,Leinster Rugby,away,20,win,85,178,6,1,3,88,13,9,26,976,9,4,3,11,124,13,13,3,0,2,2,2,0
22/23,271791,Benetton Rugby,home,34,win,109,385,19,4,7,107,10,3,41,1228,4,4,3,14,106,15,11,2,0,2,1,0,0
22/23,271791,Scarlets,away,23,loss,99,222,15,4,6,120,10,4,33,1114,4,6,2,10,113,19,12,1,0,4,0,3,0
22/23,271792,Edinburgh Rugby,away,18,loss,107,254,18,2,9,147,9,8,17,610,13,6,1,9,82,18,11,1,0,6,0,3,0
22/23,271792,DHL Stormers,home,34,win,82,291,18,5,10,102,12,5,9,497,4,6,0,9,128,18,14,3,0,5,2,2,1
22/23,271793,Vodacom Bulls,home,28,win,90,431,7,4,8,102,13,10,18,619,6,4,3,17,119,24,21,4,1,6,1,7,0
22/23,271793,Connacht Rugby,away,14,loss,114,340,24,6,12,167,13,7,12,725,11,9,5,13,108,7,15,1,2,2,0,2,0
22/23,271794,Ospreys,home,32,win,64,203,11,5,2,101,9,10,22,866,11,1,3,13,121,14,14,2,1,3,0,2,0
22/23,271794,Glasgow Warriors,away,17,loss,101,267,14,1,2,167,16,5,12,607,5,5,1,22,76,11,11,3,0,2,0,0,0
22/23,271795,Zebre Parma,away,5,loss,76,159,14,1,5,105,16,12,22,893,10,6,10,12,104,9,11,1,1,2,1,2,0
22/23,271795,Munster Rugby,home,21,win,100,232,9,1,15,128,16,6,17,788,6,8,4,13,90,14,14,2,0,2,1,4,0
22/23,271796,Hollywoodbets Sharks,away,20,win,102,513,26,7,10,108,11,7,27,975,7,9,3,13,144,18,11,2,0,4,0,1,0
22/23,271796,Dragons RFC,home,19,loss,124,311,18,4,11,133,17,9,26,1092,3,6,0,11,112,26,9,3,2,2,0,2,0
22/23,271797,Emirates Lions,away,22,win,91,314,18,6,3,115,6,7,24,871,1,5,2,12,132,34,12,3,0,3,1,5,0
22/23,271797,Edinburgh Rugby,home,19,loss,119,488,34,7,4,177,14,4,16,693,7,9,3,13,130,18,11,0,1,3,1,1,0
22/23,271798,Zebre Parma,home,20,loss,83,210,8,2,10,85,13,4,21,626,7,2,3,7,77,10,12,4,0,4,1,3,0
22/23,271798,DHL Stormers,away,37,win,62,178,10,2,2,77,7,3,15,670,6,6,3,13,96,8,10,2,0,2,1,3,0
22/23,271799,Glasgow Warriors,home,35,win,104,376,26,5,7,149,10,16,23,1049,2,5,2,15,130,15,17,7,1,4,2,4,0
22/23,271799,Vodacom Bulls,away,21,loss,105,307,15,4,3,111,16,4,10,775,9,14,2,16,123,26,13,1,0,3,1,4,0
22/23,271800,Munster Rugby,away,11,loss,78,174,5,1,5,100,10,4,15,650,7,3,3,9,120,8,14,4,0,1,1,2,0
22/23,271800,Connacht Rugby,home,20,win,86,191,8,3,6,109,10,5,18,865,10,6,0,14,99,5,13,2,2,1,1,2,0
22/23,271801,Benetton Rugby,home,34,win,122,448,16,10,14,157,13,7,33,1211,9,3,1,15,132,7,7,1,0,4,0,1,0
22/23,271801,Dragons RFC,away,14,loss,114,283,7,3,8,137,13,4,28,1045,8,8,1,11,128,16,10,5,0,2,1,0,0
22/23,271802,Scarlets,home,10,loss,178,522,23,5,10,203,17,2,31,1028,8,6,0,17,81,11,8,0,1,4,0,2,1
22/23,271802,Cardiff Rugby,away,16,win,82,363,11,5,9,111,10,6,33,1295,5,6,3,5,209,23,14,1,1,4,0,3,0
22/23,271803,Hollywoodbets Sharks,away,34,loss,66,180,11,6,3,80,7,10,23,872,2,3,2,12,168,29,13,1,0,3,0,4,1
22/23,271803,Leinster Rugby,home,54,win,153,499,29,11,15,143,9,4,22,706,3,7,2,9,84,11,10,1,0,1,0,2,0
22/23,271804,Ulster Rugby,home,47,win,170,489,21,8,15,215,13,7,27,898,3,3,1,9,153,23,6,1,1,0,0,1,0
22/23,271804,Ospreys,away,17,loss,120,320,23,5,8,176,15,5,30,769,6,4,2,11,207,21,4,1,0,1,1,0,0
22/23,271805,Benetton Rugby,away,8,loss,91,217,6,3,10,98,10,5,20,913,6,3,2,6,203,26,11,2,0,2,1,5,0
22/23,271805,Edinburgh Rugby,home,53,win,165,631,26,10,11,189,11,4,20,896,5,4,2,12,111,6,9,1,0,3,0,3,0
22/23,271807,Emirates Lions,home,37,loss,113,474,24,7,11,129,8,6,21,957,3,3,4,9,93,8,9,1,0,4,0,2,0
22/23,271807,Ulster Rugby,away,39,win,90,430,8,7,7,115,10,3,22,831,3,6,1,11,131,24,7,2,0,3,0,1,0
22/23,271808,Glasgow Warriors,away,12,loss,70,229,19,3,5,103,15,5,11,622,4,4,7,10,106,13,14,2,0,5,1,4,0
22/23,271808,Hollywoodbets Sharks,home,40,win,108,519,13,6,12,146,12,8,23,624,9,5,1,13,76,19,11,1,0,2,0,2,0
22/23,271809,Vodacom Bulls,away,17,loss,126,268,19,2,6,99,13,3,27,1068,3,4,4,9,166,15,10,3,0,6,1,2,0
22/23,271809,Munster Rugby,home,31,win,133,414,15,3,6,181,9,5,35,1034,7,4,3,7,166,19,9,1,0,3,0,3,0
22/23,271810,Scarlets,home,36,win,121,442,28,9,1,123,9,10,17,784,8,10,6,13,157,23,9,1,0,1,1,1,1
22/23,271810,Zebre Parma,away,12,loss,130,491,23,7,12,138,15,7,15,545,3,8,1,11,135,28,16,3,1,3,1,3,0
22/23,271811,Cardiff Rugby,home,31,win,90,341,15,3,7,116,6,7,18,860,8,6,5,14,175,17,12,0,1,5,1,3,0
22/23,271811,Dragons RFC,away,14,loss,130,429,17,3,3,172,10,4,16,688,3,5,3,17,115,15,17,4,1,2,2,5,0
22/23,271812,Leinster Rugby,away,10,win,120,449,23,7,6,173,10,6,42,1378,4,7,3,17,120,2,15,3,3,1,0,3,0
22/23,271812,Connacht Rugby,home,0,loss,91,147,2,0,1,135,19,7,33,1499,7,5,5,14,152,23,10,2,1,3,0,1,0
22/23,271813,Connacht Rugby,home,36,win,112,347,19,2,12,122,12,5,31,1321,6,9,0,11,87,8,12,0,2,3,1,2,0
22/23,271813,Scarlets,away,14,loss,83,346,8,3,9,95,10,5,31,1064,4,2,4,9,126,19,13,0,0,7,0,5,0
22/23,271814,Benetton Rugby,home,22,loss,112,272,11,3,3,138,9,5,22,854,7,8,3,14,130,17,15,2,1,4,1,3,0
22/23,271814,Vodacom Bulls,away,44,win,104,359,17,4,9,99,12,9,18,881,4,6,1,10,134,11,13,2,0,2,0,2,0
22/23,271815,Zebre Parma,home,19,loss,112,330,5,3,8,115,16,4,12,713,5,5,3,16,81,16,11,4,0,4,1,1,1
22/23,271815,Edinburgh Rugby,away,38,win,91,286,16,4,10,86,7,4,18,793,8,8,2,12,137,5,19,2,2,5,1,3,0
22/23,271816,Glasgow Warriors,away,24,loss,96,430,23,8,22,154,15,9,11,513,6,5,3,13,137,16,12,0,1,6,0,2,0
22/23,271816,Emirates Lions,home,35,win,110,472,16,4,7,137,10,6,16,755,2,4,0,12,90,23,10,3,0,4,1,1,1
22/23,271817,Hollywoodbets Sharks,home,24,loss,146,466,26,5,8,183,21,7,26,868,2,7,0,18,76,11,10,2,0,3,1,3,0
22/23,271817,Ulster Rugby,away,31,win,82,258,11,4,5,99,7,11,28,1033,3,4,3,12,155,26,10,1,0,2,0,3,0
22/23,271818,Ospreys,away,25,loss,124,383,16,6,6,158,9,2,22,729,9,7,2,9,129,12,10,0,0,3,0,4,0
22/23,271818,Dragons RFC,home,32,win,112,505,12,8,6,155,8,5,19,633,0,2,2,12,166,16,12,5,0,5,1,4,0
22/23,271819,DHL Stormers,away,24,loss,98,350,21,5,10,119,21,3,20,851,2,9,2,13,89,6,10,1,0,3,0,5,0
22/23,271819,Cardiff Rugby,home,30,win,74,179,6,4,3,88,5,16,34,1265,4,5,2,9,110,21,10,0,0,2,0,5,0
22/23,271820,Leinster Rugby,home,27,win,132,461,25,7,10,164,12,8,25,720,5,3,3,10,151,11,12,3,1,6,2,2,0
22/23,271820,Munster Rugby,away,13,loss,120,225,11,3,13,140,13,3,21,788,7,8,1,8,142,25,11,2,0,3,0,1,0
22/23,271821,Leinster Rugby,away,35,win,114,375,12,2,5,121,10,6,28,1258,8,7,2,10,154,15,16,2,2,2,1,4,0
22/23,271821,Scarlets,home,5,loss,133,452,15,5,13,171,13,3,21,1018,6,5,5,13,139,12,17,3,0,7,1,1,0
22/23,271822,Benetton Rugby,away,0,loss,58,143,2,0,0,59,10,9,15,531,7,6,6,10,141,20,20,7,1,4,1,3,0
22/23,271822,Glasgow Warriors,home,37,win,124,579,20,7,15,198,14,10,17,841,10,7,1,18,69,2,10,1,1,2,0,3,0
22/23,271823,Cardiff Rugby,home,17,loss,99,255,8,2,4,132,9,4,13,732,4,5,1,12,156,14,17,6,2,1,1,4,0
22/23,271823,Edinburgh Rugby,away,25,win,118,326,14,2,4,129,9,6,21,847,8,5,0,18,142,8,10,2,0,1,0,1,0
22/23,271824,Zebre Parma,away,7,loss,96,302,11,2,11,126,17,3,22,763,5,4,3,9,145,21,12,3,0,3,0,2,0
22/23,271824,Dragons RFC,home,47,win,133,375,21,8,15,189,7,6,33,1211,8,2,1,12,100,11,6,2,0,0,0,1,0
22/23,271825,Munster Rugby,home,14,loss,124,353,18,4,10,175,10,6,17,790,6,10,3,11,149,24,15,0,1,5,0,3,0
22/23,271825,Ulster Rugby,away,15,win,112,247,24,1,1,116,12,10,18,780,3,8,2,14,148,18,14,1,2,2,1,5,0
22/23,271826,Ospreys,home,19,loss,122,306,20,4,7,125,11,6,42,1597,7,6,0,19,123,9,6,0,0,2,0,0,0
22/23,271826,Connacht Rugby,away,22,win,102,284,9,4,5,136,15,10,39,1688,3,3,0,23,154,21,4,2,0,1,0,0,0
22/23,271827,Vodacom Bulls,home,40,win,95,485,13,7,9,103,13,9,33,1157,7,5,5,13,62,18,9,1,1,4,0,2,0
22/23,271827,Hollywoodbets Sharks,away,27,loss,73,345,18,4,11,85,12,4,22,941,5,6,0,12,84,13,14,3,0,2,0,3,0
22/23,271828,Emirates Lions,home,22,loss,82,317,16,4,7,91,7,7,29,1009,7,5,4,5,70,18,11,2,0,2,1,3,0
