sport,kpi,n,var_home,var_away,mean_home,mean_away,cohens_d_paired,kappa,rho,eta,kappa_abs,quadrant,p_rho,sig_rho,season
rugby,carries,142,704.53805813605,652.436170212766,116.80985915493,109.5,0.18692943967832,0.926048156914153,-0.127008266246471,0.887378678955228,1.07985744859347,Q3,0.132013884441249,0,23/24
rugby,metres_made,142,18204.0845070423,9062.42233543103,394.605633802817,336.943661971831,0.338961066287166,0.49782356986561,-0.0650961853170492,0.942215313628931,2.00874378099445,Q3,0.44149498571409,0,23/24
rugby,defenders_beaten,142,53.1577265008491,40.6380980920987,20.1830985915493,16.9859154929577,0.302888199292259,0.764481492477855,-0.189615643554531,0.841808284414099,1.30807614028533,Q3,0.023814779469838,1,23/24
rugby,clean_breaks,142,10.0951453401259,6.3081110778144,6.1056338028169,4.33098591549296,0.438750719855758,0.624865800865801,0.00269751494288099,1.00263154681223,1.60034362356593,Q2,0.974583266239789,0,23/24
rugby,offloads,142,22.3808310858056,11.8403755868545,9.38732394366197,7.50704225352113,0.346376803017001,0.529040925310583,0.145999342198514,1.16130710756689,1.89021293468541,Q2,0.0829699076899059,0,23/24
rugby,passes,142,1801.76705623814,1523.92313455199,145.549295774648,135.711267605634,0.166583023695668,0.845793649781649,-0.0489231554701938,0.953514161776146,1.18232148025486,Q3,0.563142440500727,0,23/24
rugby,turnovers_conceded,142,14.9534012586155,11.8340325641794,13.0633802816901,13.1760563380282,-0.0228511624496458,0.791394035344375,0.092988570937119,1.10175347778572,1.26359304637019,Q2,0.271036193543987,0,23/24
rugby,turnovers_won,142,6.84746778543602,5.10158825292179,6.50704225352113,6.46478873239437,0.0142039549383757,0.745032822757112,0.262231348752404,1.35028784287166,1.3422227443609,Q2,0.00161830849884035,1,23/24
rugby,kicks_from_hand,142,34.2657077215063,41.8080111876935,24.6197183098592,23.5633802816901,0.192054721473752,1.220112292076,0.605313850296788,2.514657227575,1.220112292076,Q1,1.47166777137811e-15,1,23/24
rugby,kick_metres,142,38429.7992708021,39359.8394266307,870.387323943662,831.260563380282,0.220809230507993,1.02420101518811,0.596405057678538,2.4774700759474,1.02420101518811,Q1,4.82391867869135e-15,1,23/24
rugby,scrums_won,142,5.19828188992109,4.88642493257417,6.36619718309859,6.08450704225352,0.0812993457229691,0.940007686395081,-0.190526746786375,0.840028622778406,1.06382108835194,Q3,0.023136872105311,1,23/24
rugby,rucks_won,142,3.73913694935571,5.08320847068225,4.62676056338028,4.71830985915493,-0.0330513418971338,1.35946036198491,0.131882957389487,1.14987924513563,1.35946036198491,Q1,0.117695957776599,0,23/24
rugby,lineout_throws_lost,142,1.90934971531316,2.45315153331335,1.62676056338028,2.14788732394366,-0.253166951532346,1.28480996102435,0.0289621861446653,1.02958649629874,1.28480996102435,Q1,0.732241299323966,0,23/24
rugby,lineout_throws_won,142,11.11981819998,10.4597442812906,12.1478873239437,10.9647887323944,0.229129232115123,0.940639864175961,-0.235597411654605,0.809397315908972,1.06310612391071,Q3,0.00476513275184719,1,23/24
rugby,tackles,142,1413.1503346319,1191.63000699231,127.112676056338,130.267605633803,-0.0568371153943818,0.843243622273707,-0.183554478108174,0.845387502372302,1.18589690284715,Q3,0.0287728895267548,1,23/24
rugby,missed_tackles,142,40.6380980920987,53.1577265008491,16.9859154929577,20.1830985915493,-0.302888199292259,1.30807614028533,-0.189615643554531,0.841808284414099,1.30807614028533,Q4,0.023814779469838,1,23/24
rugby,penalties_conceded,142,10.3104584956548,9.67001298571571,10.6619718309859,11.4859154929577,-0.169784829952966,0.937883896219652,-0.178759968573582,0.848415248396161,1.06623005686602,Q3,0.0332941056190253,1,23/24
rugby,scrum_pens_conceded,142,2.29048047148137,2.93257416841474,2.36619718309859,2.49295774647887,-0.0536300555551333,1.28033144352377,-0.0701465195463873,0.934916320984122,1.28033144352377,Q4,0.406806526021315,0,23/24
rugby,lineout_pens_conceded,142,0.309909099990011,0.432124662870842,0.387323943661972,0.436619718309859,-0.0595397830157611,1.39435938759065,0.0772480069024509,1.08247723132969,1.39435938759065,Q1,0.360850123558246,0,23/24
rugby,general_play_pens_conceded,142,2.37818399760264,2.3338827289981,2.46478873239437,2.79577464788732,-0.146937061204545,0.981371807795699,-0.0768278165378649,0.928656501924345,1.01898178861093,Q3,0.363476151975846,0,23/24
rugby,free_kicks_conceded,142,0.704674857656578,0.686095295175307,0.73943661971831,0.683098591549296,0.0536385679293829,0.973633850733575,0.206798602241633,1.26068453458892,1.02708014850404,Q2,0.0135392246416844,1,23/24
rugby,ruck_maul_tackle_pen_con,142,2.06992308460693,2.13430226750574,1.76056338028169,1.97887323943662,-0.109521352173234,1.03110221021137,0.0549383112908028,1.05812477216447,1.03110221021137,Q1,0.516099355199376,0,23/24
rugby,carries,141,1043.56149949341,803.363019250253,127.099290780142,118.035460992908,0.195262132947449,0.769828150655459,-0.168071226826032,0.857159657212218,1.29899120881532,Q3,0.04635298666448,1,24/25
rugby,metres_made,141,15028.2724417427,10140.0957446809,394.078014184397,348.106382978723,0.297442315505428,0.674734623290142,0.0518718028710965,1.05361206982736,1.48206415601411,Q2,0.541284260875621,0,24/25
rugby,defenders_beaten,141,58.7414387031408,49.8934143870314,22.0921985815603,20.290780141844,0.174672630440869,0.849373380845772,0.0210075446268048,1.02138551462407,1.17733852102151,Q2,0.80470891447558,0,24/25
rugby,clean_breaks,141,8.33961499493414,7.71742654508612,6.05673758865248,5.19858156028369,0.224087972965513,0.925393624258917,0.0867305823351805,1.09488904855335,1.08062123380289,Q2,0.30648302965699,0,24/25
rugby,offloads,141,23.1724417426545,18.7706180344478,9.92198581560284,9.02836879432624,0.145492546350355,0.810040575046347,0.101141166219858,1.11183088529539,1.23450606155474,Q2,0.23272962402987,0,24/25
