sport,side,n_kpis,pct_normal_close_1season,pct_normal_1season,pct_normal_close_2season,pct_normal_close_4season,mean_SW_W,mean_skewness,mean_kurtosis
rugby,home,22,36.3636363636364,15.9090909090909,13.6363636363636,0,0.941401664726149,0.530078363650183,3.35824329824508
rugby,away,22,27.2727272727273,13.6363636363636,0,0,0.943104226299643,0.546334089865135,3.33263187387542
rugby,diff,22,63.6363636363636,50,45.4545454545455,27.2727272727273,0.977495327509341,0.0276135116289456,3.06759689522185
football,home,64,3.125,0.78125,0,0,0.956846185232473,0.671209861777574,3.82220955767725
football,away,64,4.6875,0,0,0,0.954778447957566,0.674725093724153,3.89054159614053
football,diff,64,50.78125,27.34375,31.25,21.875,0.986001532311745,0.0693411825089206,3.33154493134471
