sport,kpi,n,kappa,rho,eta,quadrant,mean_home,mean_away,var_home,delta,sigma_a,delta_ratio,I_pred,bayes_acc,bayes_gap_pp,acc_abs,acc_rel,acc_improvement
rugby,final_points,283,0.556934283461425,-0.0884903955416105,0.921802028717704,Q3,27.6360424028269,20.8586572438163,170.19685236699,6.7773851590106,13.0459515700078,0.519501020883103,0.0181789357249384,0.579207520963082,42.0792479036918,0.76678445229682,1,30.4147465437788
rugby,carries,283,0.828765406817146,-0.119311757271544,0.893824721307278,Q3,121.936395759717,113.752650176678,896.910833771897,8.183745583039,29.9484696398981,0.273260893843351,0.00418132474221777,0.538049128609209,11.9194687645208,0.660777385159011,0.657243816254417,-0.534759358288774
rugby,metres_made,283,0.579399147410407,-0.00806149624447688,0.992289525849996,Q3,394.342756183746,342.505300353357,16562.9565696815,51.837455830389,128.69715058882,0.402786352248051,0.0116345154946278,0.563414232777328,9.38295834770888,0.678445229681979,0.657243816254417,-3.12500000000001
rugby,defenders_beaten,283,0.844205259272333,-0.0433957347984566,0.958551642210784,Q3,21.1342756183746,18.6325088339223,56.6556649875949,2.5017667844523,7.52699574781299,0.332372551848352,0.00657060526129949,0.547683740024802,9.18922317066467,0.657243816254417,0.639575971731449,-2.68817204301075
rugby,clean_breaks,283,0.780793410519713,0.0425601536230389,1.04409906898945,Q2,6.08127208480565,4.76325088339223,9.18840688670025,1.31802120141342,3.03123850706279,0.434812766577895,0.0126463554660043,0.566106514593342,14.414083522998,0.678445229681979,0.710247349823322,4.6875
rugby,offloads,283,0.694872192849492,0.128551987818191,1.1447562513383,Q2,9.65371024734982,8.26501766784452,22.7661829937599,1.3886925795053,4.77139214420277,0.291045576958616,0.00654714501905085,0.547598666239079,10.2578012206151,0.657243816254417,0.65017667844523,-1.07526881720431
rugby,passes,283,0.842536695061463,-0.14289920552267,0.875368206324748,Q3,147.212014134276,136.883392226148,1919.6215572764,10.328621908128,43.8134860205896,0.235740701008684,0.00302661525086234,0.532376089708751,12.4867726545666,0.657243816254417,0.657243816254417,0
rugby,turnovers_conceded,283,0.927600270153429,0.0936757567858942,1.10327742273993,Q2,13.4098939929329,13.3427561837456,14.434228002907,0.0671378091873009,3.79924045078842,0.0176713767019849,2.05195951311632e-05,0.50266674258967,14.750993585556,0.657243816254417,0.65017667844523,-1.07526881720431
rugby,turnovers_won,283,0.985435794446753,0.1590870396334,1.18917766417384,Q2,6.57243816254417,6.30742049469965,6.08959226123349,0.26501766784452,2.46770992242473,0.107394173616694,0.000792768881025419,0.516574149378445,14.0669666875972,0.657243816254417,0.657243816254417,0
rugby,kicks_from_hand,283,1.12685656480793,0.607283070019013,2.5393722778852,Q1,24.7067137809187,23.9116607773852,38.3002029922562,0.7950530035335,6.18871577892023,0.128468172062705,0.00225973688427072,0.527977779418412,15.0467450263567,0.657243816254417,0.678445229681979,3.22580645161291
rugby,kick_metres,283,1.05930311126294,0.648626981661871,2.84380113165015,Q1,881.222614840989,842.077738515901,42618.7268626419,39.1448763250879,206.443035393888,0.189615872729252,0.00568419020864064,0.544355401081954,14.4690535313806,0.657243816254417,0.68904593639576,4.83870967741935
rugby,scrums_won,283,0.970278907175971,-0.130650058051742,0.884458582711105,Q3,6.23674911660777,6.23674911660777,5.01112698293361,0,2.23855466382521,0,0,0.5,15.7243816254417,0.621908127208481,0.657243816254417,5.68181818181819
rugby,rucks_won,283,0.820468178527418,0.818178267756076,5.38183896817112,Q2,43.4275618374558,40.2402826855124,1824.35909580733,3.1872791519434,42.7125168517067,0.0746216656585537,0.00188814823955974,0.525575315971348,13.1668500283069,0.657243816254417,0.657243816254417,0
rugby,lineout_throws_lost,283,1.24678102760294,0.0262557398164393,1.02679617734608,Q1,1.71731448763251,2.03886925795053,1.8276069468461,-0.32155477031802,1.3518901386008,-0.237855696359193,0.00296399557357785,0.467960354095635,18.9283462158782,0.657243816254417,0.657243816254417,0
rugby,lineout_throws_won,283,0.918267037086238,-0.223808154256659,0.817257263595814,Q3,12.5017667844523,11.5088339222615,13.0168408390347,0.9929328621908,3.60788592378344,0.275211822980687,0.00369787899385576,0.535783960755728,11.4392717689502,0.657243816254417,0.65017667844523,-1.07526881720431
rugby,tackles,283,1.01687421761348,-0.158395622736632,0.8632670619467,Q4,127.657243816254,133.724381625442,1424.12678244744,-6.067137809188,37.7376043549063,-0.16077167358397,0.00126933769943482,0.479028831946668,17.8214984307749,0.657243816254417,0.657243816254417,0
rugby,missed_tackles,283,1.18345357478382,-0.0432363469782904,0.958696050776876,Q4,18.6325088339223,21.13074204947,47.829010350099,-2.4982332155477,6.91585210585789,-0.361232886028843,0.00655636960997019,0.452367864425173,19.7808814020057,0.65017667844523,0.65017667844523,0
rugby,penalties_conceded,283,0.995586667992131,-0.071918868827419,0.932906578246298,Q3,10.982332155477,12.1272084805654,10.8401122722602,-1.1448763250884,3.29243257672199,-0.347729618879018,0.00646877057572692,0.452686658586344,27.1694966855352,0.678445229681979,0.724381625441696,6.77083333333333
rugby,scrum_pens_conceded,283,0.989291932185054,-0.126076166862636,0.888040837269668,Q3,2.45583038869258,2.6113074204947,2.96524070871864,-0.15547703180212,1.72198742989565,-0.0902892954401771,0.000417716700381376,0.487968557697514,22.9345929934995,0.667844522968198,0.717314487632509,7.40740740740741
rugby,lineout_pens_conceded,283,1.33175059352743,0.00254450668307087,1.00252498119695,Q1,0.424028268551237,0.480565371024735,0.401122722602311,-0.056537102473498,0.633342500233729,-0.0892678171015423,0.00039326300030762,0.488326003882526,16.5384243467297,0.657243816254417,0.653710247349823,-0.537634408602154
rugby,general_play_pens_conceded,283,1.34452500897858,0.0693627485928981,1.07366380996408,Q1,2.59717314487632,3.19787985865724,2.58183595218405,-0.60070671378092,1.60680924573642,-0.373850670435748,0.00732143649729378,0.44966987683388,20.7573939420537,0.614840989399293,0.657243816254417,6.89655172413792
rugby,free_kicks_conceded,283,0.935898425439951,0.0891783393694309,1.0978508272783,Q2,0.734982332155477,0.717314487632509,0.649374733729294,0.017667844522968,0.805837907850762,0.0219248118645716,3.1296117752877e-05,0.503293376604871,15.3950439649546,0.653710247349823,0.657243816254417,0.540540540540544
rugby,ruck_maul_tackle_pen_con,283,1.09433606126384,0.0136614367449129,1.01383640410132,Q1,1.75618374558304,1.86219081272085,1.85878254767812,-0.10600706713781,1.36337175696071,-0.0777536035909428,0.00033593483241745,0.489210324194263,16.8033492060154,0.657243816254417,0.657243816254417,0
rugby,red_cards,283,1.05852059925094,0.0668908060595594,1.07165488666829,Q1,0.0565371024734982,0.0600706713780919,0.0535298097887377,-0.0035335689045937,0.231365100628288,-0.0152726962493395,1.39409650762312e-05,0.497801920211703,16.2975464947308,0.678445229681979,0.660777385159011,-2.60416666666667
football,goals,1114,0.717814766605372,-0.0552891546399032,0.948282497666246,Q3,1.45691202872531,1.10682226211849,1.52240051875904,0.35008976660682,1.23385595543363,0.283736334914218,0.00508932280479568,0.541973203914289,45.8026796085711,0.808797127468582,1,23.6403995560488
football,np_goals,1114,0.704483237941323,-0.060903990735623,0.943412566065132,Q3,1.37881508078995,1.05924596050269,1.44127586334829,0.31956912028726,1.20053149202688,0.26618970215244,0.00449250815089819,0.539438152501931,42.4655204769164,0.791741472172352,0.964093357271095,21.7687074829932
football,xg,1114,0.78807267155158,-0.151711348995017,0.869080054250627,Q3,1.32126651606822,1.05302887630162,0.531027054797252,0.2682376397666,0.728716031659282,0.368096251643901,0.00753248541343343,0.551049133096937,13.1177078752255,0.659784560143627,0.682226211849192,3.40136054421769
football,np_xg,1114,0.809999234250095,-0.158344295943385,0.863953682138998,Q3,1.24249453231598,0.999576432854578,0.444862406398903,0.242918099461402,0.666980064468874,0.364205937181708,0.00724285230002253,0.550059742624916,11.7803812132714,0.637342908438061,0.66786355475763,4.78873239436619
football,penalty_xg,1114,0.719648804117472,-0.0402093051173868,0.96184240234816,Q3,0.0787719928186714,0.0534524236983842,0.0588719906434644,0.0253195691202872,0.24263550985679,0.104352281886652,0.000699008530056222,0.515563379049685,7.59985599090218,0.591561938958707,0.591561938958707,0
football,np_shots,1114,0.816573615335117,-0.285036971620823,0.779070931770036,Q3,13.6481149012567,10.7666068222621,25.092597521377,2.8815080789946,5.00925119367925,0.575237289483612,0.0161616655111841,0.574701133287691,-0.827384423921729,0.562836624775583,0.566427289048474,0.637958532695369
football,own_goals,1114,0.996319549686085,-0.0268590269567468,0.973843554178695,Q3,0.0448833034111311,0.0466786355475763,0.0447042541145044,-0.0017953321364452,0.211433805514881,-0.00849122557328631,4.03797567094522e-06,0.498817014615418,6.04289458872752,0.549371633752244,0.559245960502693,1.79738562091504
football,penalty_goals,1114,0.631959847135876,-0.016622501594992,0.984063795052116,Q3,0.078096947935368,0.0475763016157989,0.0774533383015481,0.0305206463195691,0.27830439863852,0.109666417307372,0.000832236705112899,0.516981631160095,7.8170972071503,0.59605026929982,0.595152603231598,-0.150602409638553
football,shots,1114,0.813814009388614,-0.284782030016349,0.779254553103234,Q3,13.7486535008977,10.834829443447,25.4120601799203,2.9138240574507,5.04103760945307,0.578020693990981,0.0163456182299799,0.575123448697599,-1.22868239220161,0.578096947935368,0.562836624775583,-2.63975155279503
football,shots_inside_box,1114,0.80760737936891,-0.226871082978975,0.81593862369428,Q3,8.86983842010772,7.0475763016158,14.7368612496996,1.82226211849192,3.83886197325452,0.474688105794811,0.0116098800333962,0.563347240247646,1.83403719606123,0.560143626570916,0.581687612208258,3.84615384615383
football,shots_outside_box,1114,0.755105072608852,-0.132041989426926,0.884368562884764,Q3,4.77827648114901,3.71903052064632,6.66687717056945,1.05924596050269,2.58202966105532,0.410237719759485,0.00968892278567224,0.557882647587904,-1.03063459721046,0.540394973070018,0.547576301615799,1.32890365448506
football,penalties,1114,0.719648804117471,-0.0402093051173868,0.96184240234816,Q3,0.100538599640934,0.0682226211849192,0.0959026746093579,0.0323159784560148,0.309681569695967,0.104352281886653,0.000699008530056222,0.515563379049685,7.59985599090216,0.591561938958707,0.591561938958707,0
football,big_chances,1114,0.750461737047431,-0.0373207855006724,0.964376305483874,Q3,1.08707360861759,0.880610412926391,1.3733637555832,0.206463195691199,1.17190603530454,0.176177261206396,0.00196126592666235,0.52606558846974,14.5388630560781,0.654398563734291,0.671454219030521,2.60631001371742
