kpi,n,acc_abs,acc_rel,acc_improvement,auc_abs,auc_rel,auc_improvement,sport,kappa,rho,eta,quadrant,tau,abs_tau,psi,cos_sigma,sigma,sphere_x,sphere_y,sphere_z,eta_from_sigma,eta_sigma_residual,delta_ml_pred,residual
final_points,283,0.759717314487632,1,31.6279069767442,0.831005431770314,1,20.3361568732075,rugby,0.556934283461425,-0.0884903955416105,0.921802028717704,Q3,-0.292654014514498,0.292654014514498,-0.599882187792831,-0.0848316328735735,1.65573003772743,-0.0848316328735735,0.954892792762823,-0.284575734021051,0.921802028717705,-1.11022302462516e-16,-0.0177540971586298,33.4033166926072
carries,283,0.657243816254417,0.657243816254417,0,0.511528655359716,0.448786165613568,-12.2656842561491,rugby,0.828765406817146,-0.119311757271544,0.893824721307278,Q3,-0.0939090736134679,0.0939090736134679,-0.718732632884706,-0.118787583473227,1.68986505766104,-0.118787583473227,0.98849490985697,-0.0936339852801991,0.893824721307278,-1.11022302462516e-16,-0.0238417013214095,2.38417013214095
metres_made,283,0.660777385159011,0.671378091872792,1.6042780748663,0.658408158740716,0.692439862542955,5.16878525128377,rugby,0.579399147410407,-0.00806149624447688,0.992289525849996,Q3,-0.272881832576136,0.272881832576136,-0.176758382789899,-0.00777038752212872,1.57856679251375,-0.00777038752212878,0.963857675113229,-0.266304343192291,0.992289525849996,-1.11022302462516e-16,-0.00179895977546693,1.784174052413
defenders_beaten,283,0.657243816254417,0.65017667844523,-1.07526881720431,0.517736392861102,0.552377785167941,6.690932448346,rugby,0.844205259272333,-0.0433957347984566,0.958551642210784,Q3,-0.0846798078820491,0.0846798078820491,-0.42204243551414,-0.0432406100662661,1.61405042306907,-0.0432406100662661,0.995486674954656,-0.0844779831010455,0.958551642210784,0,-0.0095460167163318,-0.120667145571129
clean_breaks,283,0.657243816254417,0.706713780918728,7.52688172043011,0.677918190887928,0.746147877175479,10.0645899762897,rugby,0.780793410519713,0.0425601536230389,1.04409906898945,Q2,-0.123722341657363,0.123722341657363,0.416968361378052,0.0422364795633149,1.5285472793884,0.042236479563315,0.991495700956876,-0.12309490151152,1.04409906898945,0,0.0104922629253616,6.47765542789395
offloads,283,0.660777385159011,0.643109540636042,-2.67379679144385,0.556645604700144,0.501829065513801,-9.84765508314249,rugby,0.694872192849492,0.128551987818191,1.1447562513383,Q2,-0.182013672754362,0.182013672754362,0.743680537833649,0.126451592790228,1.44400529222606,0.126451592790228,0.975499462299215,-0.180029980099865,1.1447562513383,0,0.0357379019479967,-6.24758698624352
passes,283,0.657243816254417,0.657243816254417,0,0.486365147988028,0.396131249307172,-18.5527065527066,rugby,0.842536695061463,-0.14289920552267,0.875368206324748,Q3,-0.0856690313675075,0.0856690313675075,-0.793880783275955,-0.142376422601091,1.71365821075889,-0.142376422601091,0.986116388490958,-0.085460064573251,0.875368206324748,1.11022302462516e-16,-0.0277813952444796,2.77813952444796
turnovers_conceded,283,0.636042402826855,0.639575971731449,0.55555555555556,0.500554262276909,0.551989801574105,10.2757169748644,rugby,0.927600270153429,0.0936757567858942,1.10327742273993,Q2,-0.0375771911808301,0.0375771911808301,0.632157367361341,0.0936096584696254,1.47704941311333,0.0936096584696253,0.994900253658264,-0.0375595142663102,1.10327742273993,0,0.025116211039399,-1.95606554838434
turnovers_won,283,0.657243816254417,0.657243816254417,0,0.480877951446625,0.577984702361157,20.1936376210235,rugby,0.985435794446753,0.1590870396334,1.18917766417384,Q2,-0.00733565237166775,0.00733565237166775,0.844565546030847,0.159082759349732,1.41103481568185,0.159082759349732,0.987237998565883,-0.00733552079295765,1.18917766417384,0,0.0474527222040616,-4.74527222040616
kicks_from_hand,283,0.653710247349823,0.667844522968198,2.16216216216216,0.478938033477442,0.671655027158852,40.2383983335262,rugby,1.12685656480793,0.607283070019013,2.5393722778852,Q1,0.0597159776350896,0.0597159776350896,2.08355838826841,0.606201891424598,0.919520105859672,0.606201891424598,0.793071074564129,0.0596450963863577,2.5393722778852,0,0.571113476908145,-54.9491855286524
kick_metres,283,0.657243816254417,0.685512367491166,4.3010752688172,0.464527214277796,0.700642944241215,50.8292566519508,rugby,1.05930311126294,0.648626981661871,2.84380113165015,Q1,0.0288056248546521,0.0288056248546521,2.22649188203745,0.648357971002094,0.865370650231081,0.648357971002094,0.760790796608769,0.0287976602077619,2.84380113165015,4.44089209850063e-16,0.734014097369756,-69.1003344681584
scrums_won,283,0.643109540636042,0.653710247349823,1.64835164835164,0.532535195654584,0.555758785057089,4.3609492089925,rugby,0.970278907175971,-0.130650058051742,0.884458582711105,Q3,-0.015085857821672,0.015085857821672,-0.757070886054192,-0.130635192588362,1.70180596241854,-0.130635192588362,0.991315740758772,-0.0150847134970492,0.884458582711105,-1.11022302462516e-16,-0.0258485577448892,4.23320742284056
rucks_won,283,0.657243816254417,0.646643109540636,-1.61290322580645,0.390200642944241,0.4565458374903,17.0028409090909,rugby,0.820468178527418,0.818178267756076,5.38183896817112,Q2,-0.0989400761148835,0.0989400761148835,2.96918348542162,0.814189906848918,0.619463772188178,0.814189906848918,0.572161855741648,-0.0986184892381949,5.38183896817112,8.88178419700125e-16,2.73419595267752,-275.032498493559
lineout_throws_lost,283,0.657243816254417,0.657243816254417,0,0.413756789712892,0.501053098326128,21.0984594775619,rugby,1.24678102760294,0.0262557398164393,1.02679617734608,Q1,0.110282525961214,0.110282525961214,0.325945977328119,0.0260968807025896,1.54469648298293,0.0260968807025896,0.993606891705687,0.109837596352784,1.02679617734608,0,0.0063342106246939,-0.63342106246939
lineout_throws_won,283,0.657243816254417,0.653710247349823,-0.537634408602154,0.502217049107638,0.582917636625651,16.0688665710187,rugby,0.918267037086238,-0.223808154256659,0.817257263595814,Q3,-0.0426335202949027,0.0426335202949027,-1.02751788884748,-0.223604909426126,1.79630779531406,-0.223604909426126,0.973748133579342,-0.0426077085898897,0.817257263595814,0,-0.0397896535325239,3.44133094465024
tackles,283,0.657243816254417,0.657243816254417,0,0.43476333000776,0.408435871854562,-6.05558388577254,rugby,1.01687421761348,-0.158395622736632,0.8632670619467,Q4,0.00836671479400925,0.00836671479400925,-0.842498915835368,-0.158390078899758,1.729856262161,-0.158390078899758,0.987341169128686,0.00836651957078567,0.8632670619467,-1.11022302462516e-16,-0.0303315727294391,3.03315727294391
missed_tackles,283,0.643109540636042,0.65017667844523,1.09890109890109,0.532368916971511,0.552488637623323,3.77928162415407,rugby,1.18345357478382,-0.0432363469782904,0.958696050776876,Q4,0.084218461075194,0.084218461075194,-0.421251925635161,-0.0430834665373382,1.61389313295897,-0.0430834665373382,0.995532254367137,0.0840199108891004,0.958696050776876,0,-0.00951328867450401,2.05022996635149
penalties_conceded,283,0.674911660777385,0.710247349823322,5.23560209424084,0.643443077264161,0.667331781398958,3.71263674735118,rugby,0.995586667992131,-0.071918868827419,0.932906578246298,Q3,-0.00221154975315584,0.00221154975315584,-0.549796188455399,-0.0719186929518986,1.64277716198395,-0.0719186929518987,0.997408046221669,-0.00221154614763477,0.932906578246298,0,-0.015299224765773,6.76552457081815
scrum_pens_conceded,283,0.657243816254417,0.713780918727915,8.6021505376344,0.667664338765104,0.712615009422459,6.73252531960815,rugby,0.989291932185054,-0.126076166862636,0.888040837269668,Q3,-0.00538290588022652,0.00538290588022652,-0.742465433790538,-0.126074340313625,1.69720706530162,-0.126074340313624,0.99200619231862,-0.00538285388971737,0.888040837269668,1.11022302462516e-16,-0.0250828420622821,11.1104347438626
