sport,kpi,n,var_home,var_away,mean_home,mean_away,cohens_d_paired,kappa,rho,eta,kappa_abs,quadrant,p_rho,sig_rho
rugby,final_points,564,167.285775921797,109.686696144011,28.2109929078014,21.2163120567376,0.390625563029875,0.655684534680864,-0.161175314132136,0.863817745264351,1.52512366406007,Q3,0.000120861580157763,1
rugby,carries,564,812.728175427989,737.969275537584,117.11170212766,108.436170212766,0.210243959831893,0.90801487858959,-0.0981539640263152,0.910713773354426,1.10130353982006,Q3,0.0197276350447016,1
rugby,metres_made,564,15925.968582694,9378.07451217515,387.709219858156,335.72695035461,0.318550689134544,0.588854264246499,-0.0542041069813814,0.950247079250057,1.69821305663738,Q3,0.19866463428334,0
rugby,defenders_beaten,564,59.6315583941146,46.2231554614968,19.4113475177305,17.0975177304965,0.22540199538045,0.775145857433416,0.00454616373429329,1.00452997328237,1.29007978357918,Q2,0.914212700235621,0
rugby,clean_breaks,564,8.91786654573397,6.47302319136339,5.63475177304965,4.29078014184397,0.348079715181254,0.725848851647133,0.031770881327092,1.03238325879145,1.37769729569834,Q2,0.451430213627016,0
rugby,offloads,564,29.3358118236902,21.9385510751672,10.040780141844,8.4468085106383,0.24812619195259,0.747841962138941,0.197211747434259,1.24246544200631,1.33718091605859,Q2,2.36359834113075e-06,1
rugby,passes,564,1639.93677172694,1504.92901502841,144.225177304965,132.730496453901,0.192691913058898,0.917675023192286,-0.131647900088649,0.883761865019751,1.08971038191857,Q3,0.00172926430231985,1
rugby,turnovers_conceded,564,13.5900633636925,12.7211367673179,13.0921985815603,13,0.018640644357142,0.936061622884263,0.070245943015052,1.07550892832316,1.06830573495656,Q2,0.0955926126629392,0
rugby,turnovers_won,564,6.29042427219934,5.78364070392905,6.61524822695035,6.34929078014184,0.0796311251590705,0.919435709525981,0.0762094292847773,1.08241774374785,1.08762362570794,Q2,0.0705304198071554,0
rugby,kicks_from_hand,564,38.5679301613695,40.2323765793684,23.9787234042553,23.0620567375887,0.15910053362436,1.04315622878995,0.578867716225832,2.37382283035295,1.04315622878995,Q1,9.11060658534404e-52,1
rugby,kick_metres,564,46697.9635312347,46574.2517919454,880.287234042553,839.198581560284,0.223299731218585,0.997350810829116,0.636993472547714,2.75476714844755,1.00265622601608,Q2,1.60240243124651e-65,1
rugby,scrums_won,564,5.67923547862893,5.61378065832735,6.07978723404255,6.12234042553191,-0.0120827551754374,0.988474712741198,-0.0983051705418586,0.910495124923827,1.01165966828513,Q3,0.0195383391763195,1
rugby,rucks_won,564,1282.1723542824,1052.80446380207,24.3971631205674,22.9875886524823,0.0790502239799149,0.821109939148001,0.868026288542104,7.34366290739555,1.21786371388662,Q2,5.05452813330001e-173,1
rugby,lineout_throws_lost,564,2.04251225073378,2.41695010266682,1.80673758865248,2.08687943262411,-0.133971155104063,1.18332220616964,0.0195617128583518,1.01988015153916,1.18332220616964,Q1,0.642949669414907,0
rugby,lineout_throws_won,564,12.2816472040613,11.3340482219115,12.4113475177305,11.5585106382979,0.159674946525798,0.922844308551994,-0.208141797456017,0.827832272407475,1.08360640113723,Q3,6.13731503349368e-07,1
