sport,kpi,season1,season2,rho1,kappa1,rho2,kappa2,quadrant1,quadrant2,d_rho,d_logkappa,drift_length,gradI_rho,gradI_kappa,gradI_norm,alignment,quadrant_crossed
rugby,carries,23/24,24/25,-0.127008266246471,0.926048156914153,-0.168071226826032,0.769828150655459,Q3,Q3,-0.041062960579561,-0.184758929628596,0.189267083268758,0.00371357235073866,-0.00230657387412236,0.00437160183925235,0.330758685178183,0
rugby,clean_breaks,23/24,24/25,0.00269751494288099,0.624865800865801,0.0867305823351805,0.925393624258917,Q2,Q2,0.0840330673922995,0.392682278669097,0.401573067319153,0.0130226222561092,-0.0070128374063394,0.0147908275263105,-0.279393670270553,0
rugby,defenders_beaten,23/24,24/25,-0.189615643554531,0.764481492477855,0.0210075446268048,0.849373380845772,Q3,Q2,0.210623188181336,0.105301062200559,0.235479173389572,0.00625589676284122,-0.0035646128304645,0.00720018811826742,0.55575496655348,1
rugby,final_points,23/24,24/25,-0.0925063737923756,0.466374777677887,-0.0848543404818761,0.674836325639867,Q3,Q3,0.0076520333104995,0.3694806260971,0.369559855334545,0.0159205198835277,-0.0119294904399325,0.0198941120816749,-0.582950659667339,0
rugby,free_kicks_conceded,23/24,24/25,0.206798602241633,0.973633850733575,-0.0561844160599062,0.887214225232854,Q2,Q3,-0.262983018301539,-0.0929488399352906,0.278925715487662,3.43428641080834e-05,-1.61109903196177e-05,3.79341050273379e-05,-0.712053347672957,1
rugby,general_play_pens_conceded,23/24,24/25,-0.0768278165378649,0.981371807795699,0.142415010170531,1.55704722537221,Q3,Q1,0.219242826708396,0.461595105651707,0.511016104075692,0.00774800760550143,-0.00314067375217775,0.00836035008073981,0.0582770402603214,1
rugby,kick_metres,23/24,24/25,0.596405057678538,1.02420101518811,0.688848820454031,1.08858854368617,Q1,Q1,0.0924437627754929,0.0609691318191277,0.110738811222036,0.0161170375312381,-0.00289449748169801,0.0163748897539767,0.724325068408436,0
rugby,kicks_from_hand,23/24,24/25,0.605313850296788,1.220112292076,0.61016551942967,1.04596173777444,Q1,Q1,0.00485166913288204,-0.154006111786605,0.154082514131239,0.0057231363426169,-0.00115322216664993,0.00583816845952864,0.228300613896528,0
rugby,lineout_pens_conceded,23/24,24/25,0.0772480069024509,1.39435938759065,-0.0524300336486794,1.29155537291966,Q1,Q4,-0.12967804055113,-0.0765878819101835,0.150605769665935,0.000390208028111516,-0.000168668670141869,0.000425101664887477,-0.588594341842532,1
rugby,lineout_throws_lost,23/24,24/25,0.0289621861446653,1.28480996102435,0.033973276352435,1.20285049447353,Q1,Q1,0.0050110902077697,-0.065916665133043,0.0661068662646485,0.00302087213244207,-0.00132071712677373,0.00329696256720008,0.468888541246143,0
rugby,lineout_throws_won,23/24,24/25,-0.235597411654605,0.940639864175961,-0.250041653638046,0.87634404913027,Q3,Q3,-0.014444241983441,-0.0708015862796375,0.0722599525753315,0.0030140880569185,-0.00193972412354526,0.00358430697490075,0.362156976508701,0
rugby,metres_made,23/24,24/25,-0.0650961853170492,0.49782356986561,0.0518718028710965,0.674734623290142,Q3,Q2,0.116967988188146,0.304073726011964,0.325794937209867,0.0110646505246947,-0.00734387352152588,0.0132800214432732,-0.217001095310979,1
rugby,missed_tackles,23/24,24/25,-0.189615643554531,1.30807614028533,0.0215905109389669,1.17550279420365,Q4,Q1,0.211206154493498,-0.106861496538798,0.236701117738051,0.00624357047840363,-0.00298326913172886,0.00691968691713141,0.999743260733783,1
rugby,offloads,23/24,24/25,0.145999342198514,0.529040925310583,0.101141166219858,0.810040575046347,Q2,Q2,-0.044858175978656,0.426018546659732,0.428373736415063,0.00734931542401007,-0.00372781051471982,0.00824069223034376,-0.543269428476194,0
rugby,passes,23/24,24/25,-0.0489231554701938,0.845793649781649,-0.228916847166241,0.840599067797915,Q3,Q3,-0.179993691696047,-0.00616060346887473,0.180099089629771,0.00263598244787389,-0.00165917686700823,0.00311468639537184,-0.827590468989971,0
rugby,penalties_conceded,23/24,24/25,-0.178759968573582,0.937883896219652,-0.0167321933197231,0.99291630241801,Q3,Q3,0.162027775253859,0.0570202095699525,0.17176817008141,0.00601594487337209,-0.00323145359359955,0.00682890072025062,0.673913246138173,0
rugby,red_cards,23/24,24/25,-0.0580421732866955,0.439102564102564,0.254062226641312,2.82481751824818,Q3,Q1,0.312104399928008,1.86146602918302,1.88744931965253,1.49353618361658e-05,-6.78537004361601e-06,1.64044591439645e-05,-0.257386249357301,1
rugby,ruck_maul_tackle_pen_con,23/24,24/25,0.0549383112908028,1.03110221021137,-0.0357597151142289,1.15710098913176,Q1,Q4,-0.0906980264050317,0.115289392650155,0.146689386294338,0.000340215170480107,-0.000160462950704598,0.000376157840239486,-0.894490488647499,1
rugby,rucks_won,23/24,24/25,0.131882957389487,1.35946036198491,-0.160584325071536,0.727805886784228,Q1,Q3,-0.292467282461023,-0.624808733719381,0.689871774348068,0.0101081294789918,-0.000539578514091588,0.0101225207600148,-0.375064194008942,1
rugby,scrum_pens_conceded,23/24,24/25,-0.0701465195463873,1.28033144352377,-0.179751702663083,0.801954361223696,Q4,Q3,-0.109605183116696,-0.46782256360494,0.480490631733796,0.000370900361534865,-0.000210055242089169,0.00042625143157042,0.281314538102025,1
rugby,scrums_won,23/24,24/25,-0.190526746786375,0.940007686395081,-0.0604775207550177,1.00021001344086,Q3,Q4,0.130049226031357,0.0620772181265999,0.144105455142033,0,0,0,NaN,1
