scenario,kappa,rho,delta_ratio,delta,sigma_a,eta,var_x,Ixy,bayes_acc,quadrant,kappa_hat_mean,rho_hat_mean,eta_hat_mean,acc_A_mean,acc_A_std,acc_R_mean,acc_R_std,acc_AB_mean,acc_AB_std,acc_impr_pct_mean,acc_impr_pct_std
,0.8,-0.3,0.3,0.3,1,0.770331515487836,2.33665631459995,0.00441227352676399,0.53908475301322,Q3,0.803335855488014,-0.301296921912083,0.76963402815574,0.703372,0.00651842099322359,0.753348,0.00664920556862829,0.75314,0.0066180026581797,7.10884029419491,0.837606228129098
,0.8,-0.3,0.5,0.5,1,0.770331515487836,2.33665631459995,0.0122087956295851,0.564956115720323,Q3,0.800092652439592,-0.297046420335106,0.772166071155529,0.7101,0.00698420959547101,0.756508,0.00629703007417799,0.756308,0.00646475025955121,6.53965061520084,0.781443679851898
,0.8,-0.3,1,1,1,0.770331515487836,2.33665631459995,0.0479570553815512,0.628201607106568,Q3,0.800211965354868,-0.297045088198899,0.772157399544705,0.744064,0.00535277002483532,0.78268,0.0061773780845922,0.782544,0.00588225140848749,5.19199869218313,0.756361209622662
,0.8,-0.3,2,2,1,0.770331515487836,2.33665631459995,0.178588388906109,0.743504657498662,Q3,0.79779894207364,-0.300273002312226,0.770304800660324,0.836784,0.00573536682811668,0.854596,0.0051473773785833,0.854356,0.00524521784143249,2.13030121570256,0.487710886318995
,0.8,-0.15,0.3,0.3,1,0.870268092443196,2.06832815729997,0.00498327250135544,0.541534096945761,Q3,0.805069440777901,-0.148919412663039,0.871172490060461,0.693644,0.0067154758823579,0.75372,0.00556915704609608,0.753512,0.00588268437961821,8.66731854345283,0.97687843938198
,0.8,-0.15,0.5,0.5,1,0.870268092443196,2.06832815729997,0.0137818173083588,0.569001340580584,Q3,0.799373823144936,-0.153757158777155,0.867567678778082,0.702596,0.00732292904485073,0.759764,0.00637017156082045,0.759708,0.00638176100064768,8.14358066022885,1.03375412867405
,0.8,-0.15,1,1,1,0.870268092443196,2.06832815729997,0.0540094162449323,0.635953900327172,Q3,0.800651167170073,-0.15140052128352,0.869367143169756,0.74096,0.00526862100999292,0.786352,0.00560372470882045,0.786068,0.0056903226119941,6.12825179942018,0.685462139897411
,0.8,-0.15,2,2,1,0.870268092443196,2.06832815729997,0.199310954138016,0.756575395291084,Q3,0.805403804002577,-0.148780422584226,0.871252407122113,0.845528,0.00588651312193338,0.864432,0.00495915726876316,0.864364,0.00486011505700708,2.23773746712103,0.498366178647663
,0.8,0,0.3,0.3,1,1,1.8,0.0057240270753689,0.544510353744683,boundary,0.799948282445674,0.0004994601559809,1.00067677672227,0.682812,0.00675113414508242,0.7533,0.00649272748573984,0.7531,0.0060470603416462,10.3274045565826,0.814493824003005
,0.8,0,0.5,0.5,1,1,1.8,0.0158201261420048,0.573910536551592,boundary,0.800362755622916,-0.00124440385751011,0.998923649312264,0.692232,0.00614031309445692,0.75974,0.00520725553474011,0.75928,0.00509229109256615,9.75866241366544,1.02846101572201
,0.8,0,1,1,1,1,1.8,0.0618094756896312,0.645305942492887,boundary,0.799335570589294,-0.00110867372911793,0.999054396047279,0.739664,0.00561869183700118,0.790344,0.00568966696776548,0.790092,0.0057213113952688,6.85515761062859,0.82070072502877
,0.8,0,2,2,1,1,1.8,0.225441731433698,0.771971729874872,boundary,0.80047508021114,-0.000209764322534675,0.999934645047983,0.858296,0.00489034700993201,0.875224,0.0043038928747764,0.8751,0.00445407403510585,1.97362495564517,0.440647355100428
,0.8,0.4,0.3,0.3,1,1.65981493953075,1.08445824720007,0.00948305806177885,0.557265784569057,Q2,0.794512590442324,0.396332772070576,1.64987136654116,0.6574,0.00609462794565167,0.756704,0.00572145835554937,0.7564,0.0056724180497044,15.1129747944022,1.16715654074055
,0.8,0.4,0.5,0.5,1,1.65981493953075,1.08445824720007,0.0261225938333535,0.594861082932493,Q2,0.794768852766633,0.402245112832308,1.66625024149026,0.679476,0.00587695464661481,0.767452,0.006292179791663,0.767416,0.0062293367812869,12.9525282105676,1.01585571840363
,0.8,0.4,1,1,1,1.65981493953075,1.08445824720007,0.100506118594042,0.68443438563148,Q2,0.799662141683684,0.396738382661948,1.65132421954433,0.760896,0.00578022526218768,0.813128,0.00622473800776435,0.813224,0.00619514490614733,6.86704541106858,0.745313491635858
