sport,kpi,n,var_home,var_away,mean_home,mean_away,cohens_d_paired,kappa,rho,eta,kappa_abs,quadrant,p_rho,sig_rho,tau,abs_tau,psi,cos_sigma,sigma,sphere_x,sphere_y,sphere_z,eta_from_sigma,eta_sigma_residual
rugby,carries,283,896.910833771897,743.328672029672,121.936395759717,113.752650176678,0.191040157146521,0.828765406817146,-0.119311757271544,0.893824721307278,1.20661406928225,Q3,0.0449181827762537,1,-0.0939090736134679,0.0939090736134679,-0.718732632884706,-0.118787583473227,1.68986505766104,-0.118787583473227,0.98849490985697,-0.0936339852801991,0.893824721307278,-1.11022302462516e-16
rugby,metres_made,283,16562.9565696815,9596.56291506904,394.342756183746,342.505300353357,0.319262566645575,0.579399147410407,-0.00806149624447688,0.992289525849996,1.72592590870982,Q3,0.892598178199596,0,-0.272881832576136,0.272881832576136,-0.176758382789899,-0.00777038752212872,1.57856679251375,-0.00777038752212878,0.963857675113229,-0.266304343192291,0.992289525849996,-1.11022302462516e-16
rugby,defenders_beaten,283,56.6556649875949,47.829010350099,21.1342756183746,18.6325088339223,0.239622878654207,0.844205259272333,-0.0433957347984566,0.958551642210784,1.18454604376897,Q3,0.467139710544842,0,-0.0846798078820491,0.0846798078820491,-0.42204243551414,-0.0432406100662661,1.61405042306907,-0.0432406100662661,0.995486674954656,-0.0844779831010455,0.958551642210784,0
rugby,clean_breaks,283,9.18840688670025,7.1742475503095,6.08127208480565,4.76325088339223,0.332940303607441,0.780793410519713,0.0425601536230389,1.04409906898945,1.28074851366174,Q2,0.475767215346545,0,-0.123722341657363,0.123722341657363,0.416968361378052,0.0422364795633149,1.5285472793884,0.042236479563315,0.991495700956876,-0.12309490151152,1.04409906898945,0
rugby,offloads,283,22.7661829937599,15.8195874996867,9.65371024734982,8.26501766784452,0.239193315319284,0.694872192849492,0.128551987818191,1.1447562513383,1.43911356691258,Q2,0.0306192711607307,1,-0.182013672754362,0.182013672754362,0.743680537833649,0.126451592790228,1.44400529222606,0.126451592790228,0.975499462299215,-0.180029980099865,1.1447562513383,0
rugby,passes,283,1919.6215572764,1617.35160263639,147.212014134276,136.883392226148,0.162488220367255,0.842536695061463,-0.14289920552267,0.875368206324748,1.18689192513692,Q3,0.0161434764438126,1,-0.0856690313675075,0.0856690313675075,-0.793880783275955,-0.142376422601091,1.71365821075889,-0.142376422601091,0.986116388490958,-0.085460064573251,0.875368206324748,1.11022302462516e-16
rugby,turnovers_conceded,283,14.434228002907,13.3891937949528,13.4098939929329,13.3427561837456,0.0133691643160045,0.927600270153429,0.0936757567858942,1.10327742273993,1.0780505700312,Q2,0.115868313164505,0,-0.0375771911808301,0.0375771911808301,0.632157367361341,0.0936096584696254,1.47704941311333,0.0936096584696253,0.994900253658264,-0.0375595142663102,1.10327742273993,0
rugby,turnovers_won,283,6.08959226123349,6.00090218780543,6.57243816254417,6.30742049469965,0.083114379813379,0.985435794446753,0.1590870396334,1.18917766417384,1.01477945659709,Q2,0.00732903659779895,1,-0.00733565237166775,0.00733565237166775,0.844565546030847,0.159082759349732,1.41103481568185,0.159082759349732,0.987237998565883,-0.00733552079295765,1.18917766417384,0
rugby,kicks_from_hand,283,38.3002029922562,43.1588351753001,24.7067137809187,23.9116607773852,0.140374955222892,1.12685656480793,0.607283070019013,2.5393722778852,1.12685656480793,Q1,6.5371167719906e-30,1,0.0597159776350896,0.0597159776350896,2.08355838826841,0.606201891424598,0.919520105859672,0.606201891424598,0.793071074564129,0.0596450963863577,2.5393722778852,0
rugby,kick_metres,283,42618.7268626419,45146.1499636619,881.222614840989,842.077738515901,0.222825127044355,1.05930311126294,0.648626981661871,2.84380113165015,1.05930311126294,Q1,3.54222859271363e-35,1,0.0288056248546521,0.0288056248546521,2.22649188203745,0.648357971002094,0.865370650231081,0.648357971002094,0.760790796608769,0.0287976602077619,2.84380113165015,4.44089209850063e-16
rugby,scrums_won,283,5.01112698293361,4.86219081272085,6.23674911660777,6.23674911660777,0,0.970278907175971,-0.130650058051742,0.884458582711105,1.03063149430975,Q3,0.0279794631784919,1,-0.015085857821672,0.015085857821672,-0.757070886054192,-0.130635192588362,1.70180596241854,-0.130635192588362,0.991315740758772,-0.0150847134970492,0.884458582711105,-1.11022302462516e-16
rugby,rucks_won,283,1824.35909580733,1496.82858431697,43.4275618374558,40.2402826855124,0.128303570514055,0.820468178527418,0.818178267756076,5.38183896817112,1.21881631265067,Q2,1.67014659758628e-69,1,-0.0989400761148835,0.0989400761148835,2.96918348542162,0.814189906848918,0.619463772188178,0.814189906848918,0.572161855741648,-0.0986184892381949,5.38183896817112,8.88178419700125e-16
rugby,lineout_throws_lost,283,1.8276069468461,2.27862566724306,1.71731448763251,2.03886925795053,-0.160796023474731,1.24678102760294,0.0262557398164393,1.02679617734608,1.24678102760294,Q1,0.660074116539439,0,0.110282525961214,0.110282525961214,0.325945977328119,0.0260968807025896,1.54469648298293,0.0260968807025896,0.993606891705687,0.109837596352784,1.02679617734608,0
rugby,lineout_throws_won,283,13.0168408390347,11.9529358694835,12.5017667844523,11.5088339222615,0.179635410030099,0.918267037086238,-0.223808154256659,0.817257263595814,1.08900783716805,Q3,0.000146668348829854,1,-0.0426335202949027,0.0426335202949027,-1.02751788884748,-0.223604909426126,1.79630779531406,-0.223604909426126,0.973748133579342,-0.0426077085898897,0.817257263595814,0
rugby,tackles,283,1424.12678244744,1448.15780768363,127.657243816254,133.724381625442,-0.10518231153961,1.01687421761348,-0.158395622736632,0.8632670619467,1.01687421761348,Q4,0.00759173119264585,1,0.00836671479400925,0.00836671479400925,-0.842498915835368,-0.158390078899758,1.729856262161,-0.158390078899758,0.987341169128686,0.00836651957078567,0.8632670619467,-1.11022302462516e-16
rugby,missed_tackles,283,47.829010350099,56.6034132771972,18.6325088339223,21.13074204947,-0.239362310824272,1.18345357478382,-0.0432363469782904,0.958696050776876,1.18345357478382,Q4,0.468778723826257,0,0.084218461075194,0.084218461075194,-0.421251925635161,-0.0430834665373382,1.61389313295897,-0.0430834665373382,0.995532254367137,0.0840199108891004,0.958696050776876,0
rugby,penalties_conceded,283,10.8401122722602,10.7922712578002,10.982332155477,12.1272084805654,-0.237752704220478,0.995586667992131,-0.071918868827419,0.932906578246298,1.00443289584901,Q3,0.22779042596473,0,-0.00221154975315584,0.00221154975315584,-0.549796188455399,-0.0719186929518986,1.64277716198395,-0.0719186929518987,0.997408046221669,-0.00221154614763477,0.932906578246298,0
rugby,scrum_pens_conceded,283,2.96524070871864,2.93348871012205,2.45583038869258,2.6113074204947,-0.0603258531034804,0.989291932185054,-0.126076166862636,0.888040837269668,1.01082397163726,Q3,0.0340053168109918,1,-0.00538290588022652,0.00538290588022652,-0.742465433790538,-0.126074340313625,1.69720706530162,-0.126074340313624,0.99200619231862,-0.00538285388971737,0.888040837269668,1.11022302462516e-16
rugby,lineout_pens_conceded,283,0.401122722602311,0.534195423902965,0.424028268551237,0.480565371024735,-0.0585330923171914,1.33175059352743,0.00254450668307087,1.00252498119695,1.33175059352743,Q1,0.966007766622416,0,0.14324715624484,0.14324715624484,0.100456137244333,0.00251862172445205,1.56827770240764,0.00251862172445212,0.98982391666313,0.142275333583409,1.00252498119695,0
