gene_id,correlation,kappa,pef,normal_var,tumor_var,diff_var,var_reduction,mean_normal,mean_early_neoplasia,mean_difference
COL1A1,0.6171512336678286,1.2171427292830819,2.5919110091709214,8735.90504724546,10632.84331196219,7472.767502694151,0.6141842846989287,202.5553474738095,177.24168181714288,-25.31366565666667
APOE,0.49451134803045266,1.7096353871268142,1.9129651906568268,3177.913738919526,5433.073785293305,4501.3822343814845,0.47725133479473064,187.69483438095236,234.35836003333333,46.663525652380955
GPX3,-0.16172254770708763,0.5583490554039244,0.865732087901333,2533.446588893593,1414.5475098250322,4560.295446931124,-0.1550917587265974,110.66070247904761,94.85147875666665,-15.809223722380953
FOSB,0.00022425036900783492,0.9311985110743565,1.0002241582463383,6302.09799288549,5868.504267619659,12167.874731043776,0.0002241080106795387,159.4925031295238,127.77181687571431,-31.72068625380952
SERPINA3,0.2599882740804549,1.020107264075459,1.3513064200463194,7394.17979369613,7542.8565194294015,11053.774400489807,0.2599753947992622,145.95993839761906,194.82283362142857,48.86289522380954
LTF,-0.012394189675896944,0.4868103824251136,0.9885012747152067,2605.1717117132857,1268.2246372622324,3918.4535701195396,-0.01163248402295287,126.03471678952383,91.30702486571428,-34.72769192380953
CFD,-0.012858964143488284,0.4150975232888984,0.988426385532602,3663.50387916982,1520.7113868026638,5244.91792393728,-0.011709131440437863,139.12764173285714,102.17668005952382,-36.95096167333333
IGLL5,0.4662889287628719,0.6500722966402932,1.8371651980985129,12373.966311138878,8043.972698431668,11113.828539046648,0.45568313560750484,238.65394888571433,161.91942781190477,-76.73452107380953
COL6A2,0.6909910715303236,2.249467614486979,2.7614158979168777,3383.4345316603667,7610.926404706915,3981.4216122464823,0.637866936032936,190.0637714795238,206.5678626428571,16.504091163333335
C10orf116,-0.005732342410430129,0.8797291942912985,0.9943119423267373,2316.4329389084087,2037.833682975719,4379.175625402767,-0.00572059675754554,137.04928519190477,146.85943516714283,9.810149975238094
KRT19,0.1848789908538573,0.3423758909689114,1.1921423604784132,4650.251237975582,1592.1339108311731,5236.274924667263,0.1611740064343534,164.35818159571429,160.87312324857143,-3.4850583471428602
EEF2,0.7315007462323089,0.5348686894679565,3.3014554305260417,7446.0893354587215,3982.680044518134,3461.736685676184,0.6971032864009725,319.65446122380956,298.2137340714286,-21.440727152380948
ATHL1,0.22825115222517064,1.8393991642911913,1.2788528537743875,861.0506480190443,1583.8158423786188,1911.7652849441754,0.2180492094546961,95.63496415380952,114.28655094333334,18.651586789523805
KRT15,0.13758993758355903,0.22109452051225434,1.118522590905459,3101.0011866415693,685.6143704684495,3385.3724438812656,0.10596351997639442,91.70625646380952,61.28781281095238,-30.41844365285714
AZGP1,0.4489004365597865,2.195880732120367,1.7131734567170784,1802.8072975922023,3958.7498085087054,3363.09034179275,0.4162879444114896,131.8146591204762,155.82429181999998,24.009632699523806
MMP2,0.613295426297476,0.6155581447365311,2.473277162645106,2704.4101626062634,1664.721702300532,1766.535482110756,0.5956781491765664,152.24984107761907,145.41005266142858,-6.839788416190474
