row_index,pairing,correlation,kappa,pef,before_var,after_var,var_reduction
0,theta_vs_thetad,-0.5027311243463394,0.8472003184136508,0.6662188810592224,1.6924894891578057,1.4338776341262502,-1.5663355487168333
0,tau_vs_dm,-0.5027311243463394,0.8472003184136508,0.6662188810592224,1.6924894891578057,1.4338776341262502,-1.5663355487168333
1,theta_vs_thetad,-0.11344630834959289,1.8874617392838504,0.9025636427453239,0.6520582334455833,1.2307349674135557,-0.20325714693933342
1,tau_vs_dm,-0.11344630834959289,1.8874617392838504,0.9025636427453239,0.6520582334455833,1.2307349674135557,-0.20325714693933342
2,theta_vs_thetad,0.15501783019256382,0.5288954462607253,1.1729863029167695,2.4376402473291394,1.2892568264342499,0.5496246158531666
2,tau_vs_dm,0.15501783019256382,0.5288954462607253,1.1729863029167695,2.4376402473291394,1.2892568264342499,0.5496246158531666
3,theta_vs_thetad,0.7255252552070485,0.21023417408923356,2.220985446322857,2.2436463028398053,0.47169112742588887,1.4927551595167778
3,tau_vs_dm,0.7255252552070485,0.21023417408923356,2.220985446322857,2.2436463028398053,0.47169112742588887,1.4927551595167778
4,theta_vs_thetad,0.27018396850932663,0.91922105371406,1.3697589572452937,0.6502249054123334,0.5977004227042501,0.33687063377366666
4,tau_vs_dm,0.27018396850932663,0.91922105371406,1.3697589572452937,0.6502249054123334,0.5977004227042501,0.33687063377366666
5,theta_vs_thetad,-0.35884766206654495,0.2813941105143055,0.7709456039140147,2.773120821555583,0.7803398669303334,-1.055762933058
5,tau_vs_dm,-0.35884766206654495,0.2813941105143055,0.7709456039140147,2.773120821555583,0.7803398669303334,-1.055762933058
6,theta_vs_thetad,-0.3129400637504162,2.0004351082295666,0.7721816772964799,1.3537794057798889,2.70814785212025,-1.1983986178983337
6,tau_vs_dm,-0.3129400637504162,2.0004351082295666,0.7721816772964799,1.3537794057798889,2.70814785212025,-1.1983986178983337
7,theta_vs_thetad,-0.6400506542612411,1.6884980533546337,0.6177771001515066,0.6140810278921388,1.036874620197889,-1.021457504947111
7,tau_vs_dm,-0.6400506542612411,1.6884980533546337,0.6177771001515066,0.6140810278921388,1.036874620197889,-1.021457504947111
8,theta_vs_thetad,0.6697102782809378,0.9865860619075674,3.0275049833039827,1.780547802790583,1.7566636447933333,2.3688528595416667
8,tau_vs_dm,0.6697102782809378,0.9865860619075674,3.0275049833039827,1.780547802790583,1.7566636447933333,2.3688528595416667
9,theta_vs_thetad,0.32691854910396495,3.1662640865318568,1.3874475329883194,1.0809554816526665,3.4225905206965836,1.2576243402526666
9,tau_vs_dm,0.32691854910396495,3.1662640865318568,1.3874475329883194,1.0809554816526665,3.4225905206965836,1.2576243402526666
10,theta_vs_thetad,-0.13063540872149582,0.6487859229852266,0.8868100314067486,2.3509792887896666,1.5252822677965554,-0.4947552557036666
10,tau_vs_dm,-0.13063540872149582,0.6487859229852266,0.8868100314067486,2.3509792887896666,1.5252822677965554,-0.4947552557036666
11,theta_vs_thetad,-0.8313355315655115,0.7407356571551474,0.5488284223415374,1.8867767392079164,1.3976028078222222,-2.699967132789334
11,tau_vs_dm,-0.8313355315655115,0.7407356571551474,0.5488284223415374,1.8867767392079164,1.3976028078222222,-2.699967132789334
12,theta_vs_thetad,0.1958918775873605,0.9108475259638025,1.2432840199575448,1.7835831069099999,1.6245722602798056,0.666902916035333
12,tau_vs_dm,0.1958918775873605,0.9108475259638025,1.2432840199575448,1.7835831069099999,1.6245722602798056,0.666902916035333
13,theta_vs_thetad,0.029951978984085345,1.1576156727209816,1.0307917639449258,1.02004323697925,1.1808180379802222,0.06574402631500005
13,tau_vs_dm,0.029951978984085345,1.1576156727209816,1.0307917639449258,1.02004323697925,1.1808180379802222,0.06574402631500005
14,theta_vs_thetad,0.14785033582880716,1.0227693541199607,1.1734898804803413,1.8191071959022225,1.860527091827889,0.5440006969027777
14,tau_vs_dm,0.14785033582880716,1.0227693541199607,1.1734898804803413,1.8191071959022225,1.860527091827889,0.5440006969027777
15,theta_vs_thetad,-0.8091874407455092,0.38980866521594154,0.5790301253469626,3.300398535813222,1.286523947926,-3.334811261963001
15,tau_vs_dm,-0.8091874407455092,0.38980866521594154,0.5790301253469626,3.300398535813222,1.286523947926,-3.334811261963001
16,theta_vs_thetad,-0.393340627103297,0.6940858052849076,0.721045834176309,0.9740318175068055,0.6760616584273332,-0.6383789036603332
16,tau_vs_dm,-0.393340627103297,0.6940858052849076,0.721045834176309,0.9740318175068055,0.6760616584273332,-0.6383789036603332
17,theta_vs_thetad,0.8614991424395076,1.0526852425597875,7.205406824786942,1.5249690053701388,1.6053123673142222,2.695846309015778
17,tau_vs_dm,0.8614991424395076,1.0526852425597875,7.205406824786942,1.5249690053701388,1.6053123673142222,2.695846309015778
18,theta_vs_thetad,-0.13125321699824694,3.958455462806909,0.9047063313759536,0.5026507774221389,1.9897207157708057,-0.2625241085680557
18,tau_vs_dm,-0.13125321699824694,3.958455462806909,0.9047063313759536,0.5026507774221389,1.9897207157708057,-0.2625241085680557
19,theta_vs_thetad,-0.13356254903751985,1.5127066622884844,0.8843667648697644,1.4075563071362218,2.129219803351139,-0.46244259715844427
19,tau_vs_dm,-0.13356254903751985,1.5127066622884844,0.8843667648697644,1.4075563071362218,2.129219803351139,-0.46244259715844427
20,theta_vs_thetad,-0.06749308554563514,1.0338500802278476,0.9367824213853648,2.1548531709565553,2.2277951236726663,-0.2957574851760001
20,tau_vs_dm,-0.06749308554563514,1.0338500802278476,0.9367824213853648,2.1548531709565553,2.2277951236726663,-0.2957574851760001
